source_file,parse_status,n_rows_raw,n_rows_valid,note
data/mercury/messenger/data-tnf/2015/150092040sc236dss35_tnf.dat,pass,4874,4874,tnf_decode_ok_dop=4874_rng=0
data/mercury/messenger/data-tnf/2015/150100855sc236dss55_tnf.dat,pass,20503,20498,tnf_decode_ok_dop=20478_rng=20
data/mercury/messenger/data-tnf/2015/150101610sc236dss25_tnf.dat,pass,27542,27517,tnf_decode_ok_dop=27498_rng=19
data/mercury/messenger/data-tnf/2015/150111650sc236dss24_tnf.dat,pass,17532,17517,tnf_decode_ok_dop=17492_rng=25
data/mercury/messenger/data-tnf/2015/150121820sc236dss15_tnf.dat,pass,13501,13491,tnf_decode_ok_dop=13473_rng=18
data/mercury/messenger/data-tnf/2015/150130730sc236dss45_tnf.dat,pass,1270,1270,tnf_decode_ok_dop=1270_rng=0
data/mercury/messenger/data-tnf/2015/150130950sc236dss54_tnf.dat,pass,12845,12840,tnf_decode_ok_dop=12823_rng=17
data/mercury/messenger/data-tnf/2015/150131750sc236dss25_tnf.dat,pass,17730,17725,tnf_decode_ok_dop=17702_rng=23
data/mercury/messenger/data-tnf/2015/150132335sc236dss35_tnf.dat,pass,24096,24091,tnf_decode_ok_dop=24064_rng=27
data/mercury/messenger/data-tnf/2015/150141100sc236dss65_tnf.dat,pass,12328,12323,tnf_decode_ok_dop=12307_rng=16
data/mercury/messenger/data-tnf/2015/150151235sc236dss54_tnf.dat,pass,12999,12994,tnf_decode_ok_dop=12977_rng=17
data/mercury/messenger/data-tnf/2015/150151645sc236dss25_tnf.dat,pass,1510,1510,tnf_decode_ok_dop=1510_rng=0
data/mercury/messenger/data-tnf/2015/150160130sc236dss34_tnf.dat,pass,1980,1980,tnf_decode_ok_dop=1980_rng=0
data/mercury/messenger/data-tnf/2015/150160950sc236dss65_tnf.dat,pass,1288,1288,tnf_decode_ok_dop=1288_rng=0
data/mercury/messenger/data-tnf/2015/150161245sc236dss55_tnf.dat,pass,14238,14233,tnf_decode_ok_dop=14214_rng=19
data/mercury/messenger/data-tnf/2015/150162035sc236dss45_tnf.dat,pass,17912,17907,tnf_decode_ok_dop=17884_rng=23
data/mercury/messenger/data-tnf/2015/150170215sc236dss43_tnf.dat,pass,1322,1322,tnf_decode_ok_dop=1322_rng=0
data/mercury/messenger/data-tnf/2015/150171015sc236dss54_tnf.dat,pass,1195,1195,tnf_decode_ok_dop=1195_rng=0
data/mercury/messenger/data-tnf/2015/150171250sc236dss55_tnf.dat,pass,13443,13438,tnf_decode_ok_dop=13438_rng=0
data/mercury/messenger/data-tnf/2015/150171840sc236dss15_tnf.dat,pass,683,683,tnf_decode_ok_dop=683_rng=0
data/mercury/messenger/data-tnf/2015/150172105sc236dss45_tnf.dat,pass,12749,12749,tnf_decode_ok_dop=12749_rng=0
data/mercury/messenger/data-tnf/2015/150180255sc236dss43_tnf.dat,pass,1568,1568,tnf_decode_ok_dop=1568_rng=0
data/mercury/messenger/data-tnf/2015/150181015sc236dss54_tnf.dat,pass,1105,1105,tnf_decode_ok_dop=1105_rng=0
data/mercury/messenger/data-tnf/2015/150181845sc236dss15_tnf.dat,pass,909,909,tnf_decode_ok_dop=909_rng=0
