product,year,filename,url,rel_path,status,bytes,note
data-tnf,root,collection_mess-rs-raw_tnf.csv,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/collection_mess-rs-raw_tnf.csv,data-tnf/collection_mess-rs-raw_tnf.csv,skip,258986,exists
data-tnf,root,collection_mess-rs-raw_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/collection_mess-rs-raw_tnf.xml,data-tnf/collection_mess-rs-raw_tnf.xml,skip,13261,exists
data-tnf,2015,150011630sc236dss25_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150011630sc236dss25_tnf.dat,data-tnf/2015/150011630sc236dss25_tnf.dat,download,2414764,ok
data-tnf,2015,150011630sc236dss25_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150011630sc236dss25_tnf.xml,data-tnf/2015/150011630sc236dss25_tnf.xml,download,369217,ok
data-tnf,2015,150020325sc236dss34_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150020325sc236dss34_tnf.dat,data-tnf/2015/150020325sc236dss34_tnf.dat,download,13173718,ok
data-tnf,2015,150020325sc236dss34_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150020325sc236dss34_tnf.xml,data-tnf/2015/150020325sc236dss34_tnf.xml,download,714047,ok
data-tnf,2015,150021710sc236dss25_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150021710sc236dss25_tnf.dat,data-tnf/2015/150021710sc236dss25_tnf.dat,download,2248914,ok
data-tnf,2015,150021710sc236dss25_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150021710sc236dss25_tnf.xml,data-tnf/2015/150021710sc236dss25_tnf.xml,download,369217,ok
data-tnf,2015,150022020sc236dss35_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150022020sc236dss35_tnf.dat,data-tnf/2015/150022020sc236dss35_tnf.dat,download,15198602,ok
data-tnf,2015,150022020sc236dss35_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150022020sc236dss35_tnf.xml,data-tnf/2015/150022020sc236dss35_tnf.xml,download,714048,ok
data-tnf,2015,150030340sc236dss45_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150030340sc236dss45_tnf.dat,data-tnf/2015/150030340sc236dss45_tnf.dat,download,13625206,ok
data-tnf,2015,150030340sc236dss45_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150030340sc236dss45_tnf.xml,data-tnf/2015/150030340sc236dss45_tnf.xml,download,714047,ok
data-tnf,2015,150030935sc236dss65_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150030935sc236dss65_tnf.dat,data-tnf/2015/150030935sc236dss65_tnf.dat,download,3099380,ok
data-tnf,2015,150030935sc236dss65_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150030935sc236dss65_tnf.xml,data-tnf/2015/150030935sc236dss65_tnf.xml,download,369223,ok
data-tnf,2015,150031735sc236dss25_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150031735sc236dss25_tnf.dat,data-tnf/2015/150031735sc236dss25_tnf.dat,download,3183728,ok
data-tnf,2015,150031735sc236dss25_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150031735sc236dss25_tnf.xml,data-tnf/2015/150031735sc236dss25_tnf.xml,download,714035,ok
data-tnf,2015,150040200sc236dss43_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150040200sc236dss43_tnf.dat,data-tnf/2015/150040200sc236dss43_tnf.dat,download,15256806,ok
