station_id,observable_value,dtype_id,epoch_utc,t_days,beta_template,station_base,fit_value,residual
26,622805.157965255,37.0,2013-01-18 21:00:00+00:00,746.1666666666666,-0.9826034626638885,14,496736.4623421139,126068.69562314107
26,904622.635713734,37.0,2013-01-21 21:00:00+00:00,749.1666666666666,-0.9836831666817439,14,496685.26129193767,407937.3744217963
26,449695.688072275,37.0,2013-01-21 22:00:00+00:00,749.2083333333334,-0.9833754690483147,14,496686.73654290696,-46991.04847063194
65,582146.8090507895,37.0,2013-01-25 10:00:00+00:00,752.7083333333334,-0.9265181006922124,14,526222.589184108,55924.219866681495
65,577102.078537839,37.0,2013-01-25 11:00:00+00:00,752.75,-0.9254793626316288,14,526229.0175240616,50873.06101377739
65,502431.89602264704,37.0,2013-01-25 12:00:00+00:00,752.7916666666666,-0.9244323293876394,14,526235.5020671746,-23803.60604452761
65,197607.8306488605,37.0,2013-01-25 13:00:00+00:00,752.8333333333334,-0.9233770102336065,14,526242.0427506162,-328634.2121017557
25,494622.6421592935,37.0,2013-01-25 18:00:00+00:00,753.0416666666666,-0.9179764555127934,14,532294.6981508262,-37672.05599153263
25,462437.987948318,37.0,2013-01-25 19:00:00+00:00,753.0833333333334,-0.9168716197428673,14,532301.5743289895,-69863.58638067148
25,486763.407394514,37.0,2013-01-25 20:00:00+00:00,753.125,-0.9157585650265704,14,532308.5061937758,-45545.09879926179
25,469949.621660427,37.0,2013-01-25 21:00:00+00:00,753.1666666666666,-0.9146373012219848,14,532315.493678393,-62365.87201796594
25,374263.644349573,37.0,2013-01-25 22:00:00+00:00,753.2083333333334,-0.9135078382599182,14,532322.5367155555,-158058.89236598246
15,375698.63409390405,37.0,2013-01-26 18:00:00+00:00,754.0416666666666,-0.8892126893761265,14,509962.19873633404,-134263.56464243
15,405422.9157375575,37.0,2013-01-26 19:00:00+00:00,754.0833333333334,-0.8879134659237573,14,509970.3919681826,-104547.47623062506
15,437570.65087557444,37.0,2013-01-26 20:00:00+00:00,754.125,-0.8866062800014636,14,509978.6391489245,-72407.98827335006
15,489203.09743708547,37.0,2013-01-26 21:00:00+00:00,754.1666666666666,-0.8852911431867275,14,509986.94020011777,-20783.8427630323
15,99924.258407302,37.0,2013-01-26 22:00:00+00:00,754.2083333333334,-0.883968067127441,14,509995.29504284327,-410071.03663554124
24,565336.101510904,37.0,2013-01-27 18:00:00+00:00,755.0416666666666,-0.8558578614459101,14,488473.09241402766,76863.00909687637
24,567515.5436617001,37.0,2013-01-27 19:00:00+00:00,755.0833333333334,-0.854370875505894,14,488482.55781123764,79032.98585046246
24,463047.95941949997,37.0,2013-01-27 20:00:00+00:00,755.125,-0.8528762241758331,14,488492.07514450693,-25444.115725006966
24,531951.596479576,37.0,2013-01-27 21:00:00+00:00,755.1666666666666,-0.8513739206935493,14,488501.64432414406,43449.95215543191
24,226206.958013394,37.0,2013-01-27 22:00:00+00:00,755.2083333333334,-0.8498639783646271,14,488511.2652599984,-262304.30724660435
26,129978.04118843049,37.0,2013-01-28 18:00:00+00:00,756.0416666666666,-0.8180820596560625,14,497706.7032770779,-367728.66208864737
26,605051.723056118,37.0,2013-01-28 19:00:00+00:00,756.0833333333334,-0.8164148938898005,14,497717.3894641094,107334.33359200862
26,433423.37919188,37.0,2013-01-28 20:00:00+00:00,756.125,-0.8147403989018873,14,497728.12530952593,-64304.74611764593
26,546339.7948931695,37.0,2013-01-28 21:00:00+00:00,756.1666666666666,-0.8130585895229594,14,497738.9107128441,48600.88418032543
26,492385.217114817,37.0,2013-01-28 22:00:00+00:00,756.2083333333334,-0.811369480648463,14,497749.7455731413,-5364.528458324319
25,550259.4758138135,37.0,2013-01-29 18:00:00+00:00,757.0416666666666,-0.7760779160325169,14,533197.6028944427,17061.87291937077
25,675413.815971369,37.0,2013-01-29 19:00:00+00:00,757.0833333333334,-0.7742390719013775,14,533209.4522705213,142204.36370084772
25,375201.199102,37.0,2013-01-29 20:00:00+00:00,757.125,-0.7723932720912217,14,533221.3487740855,-158020.14967208554
25,821670.3047213155,37.0,2013-01-29 21:00:00+00:00,757.1666666666666,-0.7705405329499123,14,533233.292294372,288437.0124269435
34,756155.3294237021,37.0,2013-01-30 02:00:00+00:00,757.375,-0.7611733237457234,14,536252.8711614213,219902.4582622808
34,512627.25454863,37.0,2013-01-30 03:00:00+00:00,757.4166666666666,-0.7592792953544049,14,536265.0944327608,-23637.839884130866
34,677144.6455117705,37.0,2013-01-30 04:00:00+00:00,757.4583333333334,-0.7573784437797477,14,536277.3639338751,140867.2815778954
34,726911.5470506585,37.0,2013-01-30 05:00:00+00:00,757.5,-0.7554707858572156,14,536289.6795506971,190621.8674999614
45,536785.933325792,37.0,2013-01-31 02:00:00+00:00,758.375,-0.7138681528431018,14,525057.2176143182,11728.71571147372
45,519183.803381221,37.0,2013-01-31 03:00:00+00:00,758.4166666666666,-0.7118151350362678,14,525070.518102038,-5886.714720816934
45,733914.2298434115,37.0,2013-01-31 04:00:00+00:00,758.4583333333334,-0.7097557144264789,14,525083.8619712883,208830.36787212314
