T_K,alpha_1e-8_per_K,alpha_per_K,sigma_fit_1e-8_per_K,sigma_fit_per_K
352.0,299.0949355630165,2.9909493556301654e-06,0.5,5e-09
353.0,299.7059992778772,2.997059992778772e-06,0.5,5e-09
354.0,300.31339060811337,3.0031339060811335e-06,0.5,5e-09
355.0,300.9171386014959,3.0091713860149587e-06,0.5,5e-09
356.0,301.5172720445864,3.015172720445864e-06,0.5,5e-09
357.0,302.1138194648871,3.0211381946488713e-06,0.5,5e-09
358.0,302.7068091329911,3.027068091329911e-06,0.5,5e-09
359.0,303.2962690647301,3.032962690647301e-06,0.5,5e-09
360.0,303.8822270233196,3.0388222702331963e-06,0.5,5e-09
361.0,304.46471052150133,3.0446471052150135e-06,0.5,5e-09
362.0,305.04374682368086,3.050437468236809e-06,0.5,5e-09
363.0,305.6193629480609,3.0561936294806088e-06,0.5,5e-09
364.0,306.19158566876916,3.061915856687692e-06,0.5,5e-09
365.0,306.76044151798,3.0676044151797998e-06,0.5,5e-09
366.0,307.3259567880295,3.073259567880295e-06,0.5,5e-09
367.0,307.8881575335232,3.0788815753352324e-06,0.5,5e-09
368.0,308.44706957343635,3.0844706957343636e-06,0.5,5e-09
369.0,309.00271849320575,3.0900271849320577e-06,0.5,5e-09
370.0,309.55512964681265,3.0955512964681267e-06,0.5,5e-09
371.0,310.1043281588568,3.101043281588568e-06,0.5,5e-09
372.0,310.6503389266209,3.106503389266209e-06,0.5,5e-09
373.0,311.1931866221248,3.1119318662212484e-06,0.5,5e-09
374.0,311.7328956941695,3.117328956941695e-06,0.5,5e-09
375.0,312.26949037037036,3.1226949037037036e-06,0.5,5e-09
376.0,312.8029946591796,3.128029946591796e-06,0.5,5e-09
377.0,313.3334323518966,3.133334323518966e-06,0.5,5e-09
378.0,313.86082702466757,3.138608270246676e-06,0.5,5e-09
379.0,314.38520204047256,3.1438520204047256e-06,0.5,5e-09
380.0,314.9065805511007,3.1490658055110074e-06,0.5,5e-09
381.0,315.424985499113,3.15424985499113e-06,0.5,5e-09
382.0,315.940439619792,3.1594043961979203e-06,0.5,5e-09
383.0,316.45296544307956,3.1645296544307956e-06,0.5,5e-09
384.0,316.9625852955006,3.1696258529550062e-06,0.5,5e-09
385.0,317.4693213020746,3.174693213020746e-06,0.5,5e-09
386.0,317.97319538821296,3.1797319538821298e-06,0.5,5e-09
387.0,318.47422928160364,3.1847422928160365e-06,0.5,5e-09
388.0,318.9724445140812,3.189724445140812e-06,0.5,5e-09
389.0,319.4678624234843,3.194678624234843e-06,0.5,5e-09
390.0,319.96050415549826,3.1996050415549826e-06,0.5,5e-09
391.0,320.45039066548446,3.2045039066548445e-06,0.5,5e-09
392.0,320.93754272029514,3.2093754272029517e-06,0.5,5e-09
393.0,321.42198090007463,3.2142198090007465e-06,0.5,5e-09
394.0,321.90372560004596,3.2190372560004596e-06,0.5,5e-09
395.0,322.3827970322835,3.223827970322835e-06,0.5,5e-09
396.0,322.85921522747117,3.2285921522747116e-06,0.5,5e-09
397.0,323.3330000366466,3.233330000366466e-06,0.5,5e-09
