t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.055371046,1.98378479e-10,5.64290923e-09,0,
-0.055126905,2.04047654e-10,5.7194788e-09,1,0.035675918
-0.054882765,2.00454627e-10,5.78996289e-09,0,
-0.054638624,1.86701213e-10,5.83818889e-09,0,
-0.054394484,1.6512481e-10,5.88863829e-09,0,
-0.054150343,1.36033731e-10,5.9057587e-09,0,
-0.053906202,1.04552596e-10,5.93407258e-09,0,
-0.053662062,7.79059486e-11,5.92567085e-09,0,
-0.053417921,7.34505296e-11,5.93555837e-09,0,
-0.05317378,9.81815051e-11,5.91252529e-09,0,
-0.05292964,1.35296476e-10,5.91044943e-09,0,
-0.052685499,1.74735443e-10,5.88420215e-09,0,
-0.052441359,2.10155675e-10,5.87538979e-09,1,0.035768806
-0.052197218,2.38813971e-10,5.85345005e-09,1,0.04079884
-0.051953077,2.58674124e-10,5.83923605e-09,1,0.044299309
-0.051708937,2.67605844e-10,5.82331047e-09,1,0.045954246
-0.051464796,2.65772319e-10,5.80146386e-09,1,0.045811251
-0.051220655,2.51468606e-10,5.78863712e-09,1,0.043441764
-0.050976515,2.26554122e-10,5.75621045e-09,1,0.039358207
-0.050732374,1.90219858e-10,5.74186685e-09,0,
-0.050488234,1.45464515e-10,5.69836273e-09,0,
-0.050244093,9.30999624e-11,5.67882607e-09,0,
-0.049999952,3.87669038e-11,5.62766172e-09,0,
-0.049755812,3.66135083e-11,5.60157347e-09,0,
-0.049511671,9.35785906e-11,5.54946286e-09,0,
-0.04926753,1.51956545e-10,5.51822468e-09,0,
-0.04902339,2.06242296e-10,5.47354377e-09,0,
-0.048779249,2.5290562e-10,5.4414669e-09,1,0.046477471
-0.048535109,2.90934873e-10,5.41277344e-09,1,0.053749686
-0.048290968,3.17096904e-10,5.386841e-09,1,0.058865094
-0.048046827,3.31867849e-10,5.38162252e-09,1,0.061666876
-0.047802687,3.32819283e-10,5.36998406e-09,1,0.061977704
-0.047558546,3.21534798e-10,5.39275223e-09,1,0.059623506
-0.047314405,2.97018459e-10,5.40145952e-09,1,0.054988556
-0.047070265,2.61464728e-10,5.4509284e-09,1,0.047967008
-0.046826124,2.15662077e-10,5.48015458e-09,1,0.039353284
-0.046581984,1.61870692e-10,5.54710802e-09,0,
-0.046337843,1.02684253e-10,5.58946062e-09,0,
-0.046093702,4.03651539e-11,5.65764297e-09,0,
-0.045849562,2.6014967e-11,5.70016835e-09,0,
-0.045605421,8.62633199e-11,5.75069679e-09,0,
-0.04536128,1.42400319e-10,5.77951705e-09,0,
-0.04511714,1.92871148e-10,5.79682833e-09,0,
-0.044872999,2.33810477e-10,5.80185381e-09,1,0.040299271
-0.044628859,2.65536205e-10,5.77851959e-09,1,0.045952289
-0.044384718,2.85457887e-10,5.7562973e-09,1,0.049590539
-0.044140577,2.94405469e-10,5.69507077e-09,1,0.051694787
-0.043896437,2.91572151e-10,5.6492132e-09,1,0.051612878
