candidate_id,gain,sat_mev,blend,sign_blend,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,delta_holdout_p95_abs_z_logft_vs_pre,logft_constraint_pass,delta_n_qbeta_gt3_holdout_vs_pre,delta_top_priority_q_gt3_vs_pre,qfail_constraint_pass,top_priority_constraint_pass,all_constraints_pass,holdout_max_abs_z_qbeta,train_p95_abs_z_qbeta,overfit_gap_qbeta,overfit_guard_pass,hard_fail_count,watch_fail_count,n_qbeta_gt3_holdout,n_logft_gt3_holdout,top_priority_class_after,top_priority_q_gt3_after,n_target_rows,n_changed_rows,mapping_delta_abs_median_mev,mapping_delta_abs_p95_mev,is_pareto_front,norm_holdout_p95_abs_z_qbeta,norm_holdout_p95_abs_z_logft,norm_overfit_gap_qbeta,norm_n_qbeta_gt3_holdout,score_weighted,rank_weighted,rank_constrained
lcand_0031,0.8,5.0,0.4,0.1,6824.159204299647,14.445056541087688,4.781375670802705,False,-2,0,True,True,False,302924.11674535857,3929.72756571332,2894.431638586327,False,3,3,1242,146,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.26976181279072575,1.9886335616398116,False,0.6982940687592205,0.5864710906744394,0.5846895036730709,0.5714285714285714,0.6356829874500238,34,
lcand_0032,0.8,5.0,0.6,0.0,6981.2061155337815,11.21162817814638,1.5479473078613974,False,-2,-1,True,True,False,296911.47062357026,3900.2536147540854,3080.952500779696,False,3,3,1242,59,beta_minus|sigma_low|mode_inconsistent,108,2695,2695,0.3142423839277688,2.4386608078021292,False,0.9518382751689236,0.2093195116874075,0.8595042496420858,0.5714285714285714,0.6915953558320836,49,
lcand_0033,0.8,5.0,0.6,0.1,6988.69232933693,13.589848259593506,3.9261673893085227,False,-3,0,True,True,False,301102.5134329498,3953.379989046243,3035.312340290687,False,3,3,1241,192,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.38296982099700605,2.9358305353493055,False,0.9639243844901243,0.48671840791052823,0.7922592832438019,0.42857142857142855,0.7596619234710462,62,
lcand_0034,0.8,5.0,0.8,0.0,6982.556863390446,16.43425724745267,6.7705763771676875,False,-2,0,True,True,False,295181.373379221,3873.0740571105134,3109.4828062799324,False,3,3,1242,117,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.4189898452370251,3.2515477437361717,False,0.9540189885028331,0.8184942262187881,0.9015400228326336,0.5714285714285714,0.8837362458298667,71,
lcand_0035,0.8,5.0,0.8,0.1,6982.54003708893,10.940777593391008,1.277096723106025,False,-3,0,True,True,False,298954.21351167466,3959.5820294255436,3022.9580076633865,False,3,3,1241,204,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.5001071687495339,3.8160297835270853,False,0.9539918232995758,0.17772712297676768,0.7740567468483367,0.42857142857142855,0.6588543781760782,40,
lcand_0036,0.8,8.0,0.4,0.0,6566.601607309196,10.542869723561463,0.8791888532764798,False,1,0,False,True,False,299235.7433854424,3887.2331812470993,2679.3684260620967,False,3,3,1245,52,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.1865649309354096,1.1756507559827272,False,0.28248050056762536,0.1313145959149138,0.2678212379889128,1.0,0.27007485162768813,13,
lcand_0037,0.8,8.0,0.4,0.1,6824.622666026135,15.14113609400849,5.477455223723506,False,-2,0,True,True,False,303985.66932920355,3927.863897934023,2896.7587680921124,False,3,3,1242,122,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.23351349775624985,1.4871014250384105,False,0.6990423040140263,0.6676627773354229,0.5881182327516786,0.5714285714285714,0.661062945128703,43,
lcand_0038,0.8,8.0,0.6,0.0,6459.195457025471,10.818659165190061,1.154978294905078,False,-1,0,True,True,False,298350.9977102113,3887.0167860142406,2572.1786710112306,False,3,3,1243,53,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.2798473964031145,1.763476133974091,False,0.10907876395779781,0.1634830597566673,0.10989077938827722,0.7142857142857143,0.15582280329995038,3,
lcand_0039,0.8,8.0,0.6,0.1,6824.523644206679,14.115160029808948,4.451479159523965,False,-2,0,True,True,False,302885.3371174796,3928.6418752212726,2895.8817689854063,False,3,3,1242,158,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.33883991051889206,2.173341785830658,False,0.6988824383507409,0.5479915030153797,0.5868260862116598,0.5714285714285714,0.6248311939762079,32,
lcand_0040,0.8,8.0,0.8,0.0,6980.24532553058,10.983719942959155,1.320039072674172,False,-1,0,True,True,False,297351.3222451936,3897.6965738689014,3082.5487516616786,False,3,3,1243,58,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.373129861870819,2.351301511965455,False,0.9502871288459951,0.18273597832382324,0.8618561221108076,0.7142857142857143,0.690535511614292,48,
lcand_0041,0.8,8.0,0.8,0.1,6994.721857130703,12.9201719454716,3.2564910751866165,False,-3,0,True,True,False,301642.0653499895,3948.387729516565,3046.334127614138,False,3,3,1241,191,beta_minus|sigma_low|mode_inconsistent,109,2695,2695,0.43943348812586747,2.858602271901278,False,0.9736587487478096,0.4086064317257393,0.8084984837696848,0.42857142857142855,0.7438566346367445,61,
