session,group_type,group_label,n_removed,beta_all,beta_all_sigma,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
20MAY06XA,source,0955+476,48,9.2325738013260708e+00,1.2206749153850662e+00,9.2249803339566121e+00,1.2652356694985201e+00,7.5934673694586508e-03,1.7580866157336239e+00,4.3191656779037633e-03
20MAY06XA,source,1104+728,36,9.2325738013260708e+00,1.2206749153850662e+00,9.2323425669479278e+00,1.2536906987775054e+00,2.3123437814298597e-04,1.7497964502340175e+00,1.3214930120132587e-04
20MAY06XA,time_quartile,Q3,179,9.2325738013260708e+00,1.2206749153850662e+00,2.4085805264713702e+01,2.4379464456106699e+00,-1.4853231463387631e+01,2.7264684338381833e+00,5.4477914649750812e+00
20MAY06XA,time_quartile,Q1,181,9.2325738013260708e+00,1.2206749153850662e+00,6.7423336749593101e+00,1.3125498864968244e+00,2.4902401263667606e+00,1.7924381310363728e+00,1.3893032530650999e+00
20MAY06XA,time_quartile,Q2,181,9.2325738013260708e+00,1.2206749153850662e+00,6.9967275772646600e+00,1.0245171748634447e+00,2.2358462240614108e+00,1.5936381931418790e+00,1.4029823291655743e+00
20MAY06XA,time_quartile,Q4,178,9.2325738013260708e+00,1.2206749153850662e+00,1.0591213112578702e+01,1.5389056511918748e+00,-1.3586393112526309e+00,1.9642499464988226e+00,6.9168351699555219e-01
22MAY09XA,baseline,RAEGSMAR-WETTZELL,336,5.4609783256794806e+00,3.8943244120781795e-01,4.5313168555484165e+00,2.9465067335600059e-01,9.2966147013106415e-01,4.8834070644809568e-01,1.9037148815483298e+00
22MAY09XA,baseline,NYALES20-RAEGSMAR,286,5.4609783256794806e+00,3.8943244120781795e-01,5.2260499879226261e+00,4.0181260839129562e-01,2.3492833775685451e-01,5.5956322120677060e-01,4.1984234998540665e-01
22MAY09XA,baseline,HART15M-RAEGSMAR,183,5.4609783256794806e+00,3.8943244120781795e-01,5.6803762758368457e+00,4.0252753356051751e-01,-2.1939795015736507e-01,5.6007681753433980e-01,3.9172831884603615e-01
22MAY09XA,baseline,NYALES20-WETTZELL,324,5.4609783256794806e+00,3.8943244120781795e-01,5.3011513511507857e+00,4.0746428018986869e-01,1.5982697452869488e-01,5.6363531285373558e-01,2.8356451571402924e-01
22MAY09XA,baseline,NYALE13S-WETTZELL,147,5.4609783256794806e+00,3.8943244120781795e-01,5.3432541822797521e+00,3.9659520863672837e-01,1.1772414339972848e-01,5.5582855790134666e-01,2.1179937901035878e-01
22MAY09XA,baseline,MATERA-WETTZELL,387,5.4609783256794806e+00,3.8943244120781795e-01,5.4020009661440085e+00,4.0365772091988583e-01,5.8977359535472118e-02,5.6088963435181882e-01,1.0514966924576553e-01
22MAY09XA,baseline,MATERA-NYALES20,306,5.4609783256794806e+00,3.8943244120781795e-01,5.4132344823862102e+00,4.0343216467273346e-01,4.7743843293270416e-02,5.6072732924087809e-01,8.5146274853246079e-02
22MAY09XA,baseline,KOKEE-NYALES20,149,5.4609783256794806e+00,3.8943244120781795e-01,5.4422082056147341e+00,3.9682912633109474e-01,1.8770120064746543e-02,5.5599548718472580e-01,3.3759482760892079e-02
22MAY09XA,baseline,KOKEE-SEJONG,144,5.4609783256794806e+00,3.8943244120781795e-01,5.4747560218822402e+00,3.9620044587143938e-01,-1.3777696202759593e-02,5.5554695532763743e-01,2.4800237082811670e-02
22MAY09XA,baseline,MATERA-RAEGSMAR,366,5.4609783256794806e+00,3.8943244120781795e-01,5.4490576151039507e+00,3.9753413971474838e-01,1.1920710575529903e-02,5.5649889353333459e-01,2.1420906158218345e-02
22MAY09XA,baseline,SEJONG-YARRA12M,182,5.4609783256794806e+00,3.8943244120781795e-01,5.4544506317275125e+00,3.9682937636438642e-01,6.5276939519680610e-03,5.5599566564032532e-01,1.1740548272890384e-02
22MAY09XA,baseline,NYALE13S-NYALES20,215,5.4609783256794806e+00,3.8943244120781795e-01,5.4609740558953845e+00,3.9834909839937577e-01,4.2697840960670419e-06,5.5708134994870917e-01,7.6645611928314663e-06
22MAY09XA,source,0235+164,276,5.4609783256794806e+00,3.8943244120781795e-01,1.0312790069658700e+01,6.2748360291461114e-01,-4.8518117439792192e+00,7.3850748011904521e-01,6.5697530148200007e+00
22MAY09XA,source,0059+581,288,5.4609783256794806e+00,3.8943244120781795e-01,4.9885952628713079e+00,3.6206128182595737e-01,4.7238306280817266e-01,5.3173865579110935e-01,8.8837450063766998e-01
22MAY09XA,source,OJ287,245,5.4609783256794806e+00,3.8943244120781795e-01,5.0242213673541025e+00,3.8787879830308925e-01,4.3675695832537809e-01,5.4964314644879286e-01,7.9461912906080101e-01
22MAY09XA,source,3C418,463,5.4609783256794806e+00,3.8943244120781795e-01,5.0443249164897042e+00,3.8860061784951805e-01,4.1665340918977645e-01,5.5015276647319311e-01,7.5734129605631717e-01
