session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
22MAY09XA,1038+52A,40,1.1981812554125794e+01,5.5454052555371220e+01,2.9899963570591211e+01,5.4454052555371220e+01,5.4609783256794806e+00,3.8943244120781795e-01,4.9993074229691743e+01
18MAY01XA,1039+811,57,3.8915678326779855e+01,6.6431111116715416e+00,9.8224790945971663e-01,5.6431111116715416e+00,1.4021809170205990e+00,5.5657027442395014e-02,5.2409301946509430e+00
22MAY09XA,1040+244,71,1.1981812554125794e+01,2.3031054159578378e+01,1.6599720116576606e+01,2.2031054159578378e+01,5.4609783256794806e+00,3.8943244120781795e-01,1.7570075833898898e+01
22MAY09XA,1053+704,99,1.1981812554125794e+01,1.7362952587396027e+01,4.2590282781104074e+00,1.6362952587396027e+01,5.4609783256794806e+00,3.8943244120781795e-01,1.1901974261716546e+01
18MAY01XA,1057-797,39,3.8915678326779855e+01,2.5986237414841142e+01,2.3683650894805449e+01,2.4986237414841142e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.4584056497820544e+01
22MAY09XA,1057-797,31,1.1981812554125794e+01,-1.4132722981767321e+02,1.9392319544239729e+01,-1.4232722981767321e+02,5.4609783256794806e+00,3.8943244120781795e-01,-1.4678820814335270e+02
20MAY06XA,1104+728,36,1.1452581368343477e+01,-1.1554436737639740e+01,1.1355151748706531e+01,-1.2554436737639740e+01,9.2325738013260708e+00,1.2206749153850662e+00,-2.0787010538965809e+01
17MAY01XA,1123+264,95,2.9980768003362140e+01,7.4873507219585051e+01,9.1751361106741367e+00,7.3873507219585051e+01,1.1866902903646863e+00,6.9614570068410556e-02,7.3686816929220370e+01
20MAY04XA,1123+264,65,1.0106397771203248e+01,7.8158516974261332e+01,1.7929451148427937e+01,7.7158516974261332e+01,8.0497082639269522e+00,2.7976357126395818e-01,7.0108808710334387e+01
18MAY01XA,1124-186,82,3.8915678326779855e+01,-1.5694698349945043e+01,5.7342545878682316e+01,-1.6694698349945043e+01,1.4021809170205990e+00,5.5657027442395014e-02,-1.7096879266965640e+01
20MAY06XA,1125+366,25,1.1452581368343477e+01,8.1605473610136855e+01,1.3697792136919395e+01,8.0605473610136855e+01,9.2325738013260708e+00,1.2206749153850662e+00,7.2372899808810786e+01
18MAY01XA,1128+385,244,3.8915678326779855e+01,5.4993821762710070e+01,4.2799635623106536e+00,5.3993821762710070e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.3591640845689469e+01
22MAY09XA,1144+402,159,1.1981812554125794e+01,6.7361314572259133e+01,7.6341684794958171e+00,6.6361314572259133e+01,5.4609783256794806e+00,3.8943244120781795e-01,6.1900336246579656e+01
18MAY01XA,1144-379,123,3.8915678326779855e+01,6.0612061642471289e+01,1.4239928035233266e+01,5.9612061642471289e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.9209880725450688e+01
17MAY01XA,1149-084,99,2.9980768003362140e+01,9.0936536306961273e+01,9.1653116079788273e+00,8.9936536306961273e+01,1.1866902903646863e+00,6.9614570068410556e-02,8.9749846016596592e+01
18MAY01XA,1149-084,299,3.8915678326779855e+01,1.1165833491912386e+02,7.8459730962627781e+00,1.1065833491912386e+02,1.4021809170205990e+00,5.5657027442395014e-02,1.1025615400210326e+02
20MAY04XA,1149-084,69,1.0106397771203248e+01,-7.2629332397866719e+01,3.2426488720923750e+01,-7.3629332397866719e+01,8.0497082639269522e+00,2.7976357126395818e-01,-8.0679040661793664e+01
