galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
NGC6195,127.8,15.47,249.0,9.98,60.46,231.69,170.69,1.2988465205225604e-10,1.0411637168526226e-11,1.066086355352523e-10
NGC6195,127.8,16.35,250.0,6.15,63.83,234.56,166.06,1.2388300036102312e-10,6.095043617762338e-12,1.0086377920034407e-10
NGC6195,127.8,17.92,253.0,6.96,68.08,238.09,158.63,1.1575839371542653e-10,6.368999369639278e-12,9.14954898765507e-11
NGC6195,127.8,19.1,258.0,15.4,69.27,241.54,153.66,1.1294200660867786e-10,1.3482999238555342e-11,8.568059772899885e-11
NGC6195,127.8,22.52,254.0,6.51,67.69,240.74,141.52,9.284285818729691e-11,4.759110289758291e-12,6.846987697434599e-11
NGC6195,127.8,26.05,256.0,7.73,66.4,225.1,131.58,8.153079136776427e-11,4.923695447443889e-12,5.208047080289837e-11
NGC6195,127.8,29.48,255.0,8.5,63.14,208.87,123.68,7.148292852649926e-11,4.765528568433284e-12,4.013346523889581e-11
NGC6195,127.8,33.0,244.0,5.75,61.55,195.11,116.89,5.846758659889688e-11,2.7556444503578448e-12,3.180544890864232e-11
NGC6195,127.8,36.43,246.0,4.24,65.91,185.57,111.25,5.3834476936594896e-11,1.8557575789525396e-12,2.6888624157457352e-11
NGC6503,6.26,0.76,77.0,10.0,4.04,70.72,0.0,2.528234264094163e-10,6.566842244400425e-11,1.0732867432327779e-10
NGC6503,6.26,1.52,100.0,5.0,7.62,123.17,0.0,2.1320916377923456e-10,2.1320916377923457e-11,1.6296618660644035e-10
NGC6503,6.26,2.28,110.0,2.0,9.72,142.64,0.0,1.7198872544858255e-10,6.254135470857548e-12,1.459425709281628e-10
NGC6503,6.26,3.04,118.0,2.0,12.42,134.42,0.0,1.484362198231031e-10,5.031736265189935e-12,9.79549483623652e-11
NGC6503,6.26,3.79,121.0,2.0,13.35,121.97,0.0,1.2519327065106848e-10,4.1386205173906935e-12,6.512823077865246e-11
NGC6503,6.26,4.55,121.0,2.0,14.78,111.53,0.0,1.0428186720165924e-10,3.4473344529474127e-12,4.5854668299348336e-11
NGC6503,6.26,5.31,117.0,2.0,17.55,103.23,0.0,8.354619151262508e-11,2.856280051713678e-12,3.439876015806755e-11
NGC6503,6.26,6.07,116.0,2.0,19.2,96.65,0.0,7.184172342465137e-11,2.4773008077465986e-12,2.6904614638066942e-11
NGC6503,6.26,6.83,116.0,2.0,20.33,91.96,0.0,6.38476224286433e-11,2.201642152711838e-12,2.202415432068794e-11
NGC6503,6.26,7.59,116.0,2.0,21.66,87.62,0.0,5.745444811431275e-11,1.9811878660107847e-12,1.8393398531701065e-11
NGC6503,6.26,8.35,115.0,1.0,22.79,83.25,0.0,5.132851030287633e-11,8.926697443978492e-13,1.5465174780415073e-11
NGC6503,6.26,9.11,115.0,1.0,23.92,79.58,0.0,4.7046439190891037e-11,8.181989424502789e-13,1.3299840173508135e-11
NGC6503,6.26,9.86,116.0,1.0,24.84,76.81,0.0,4.42271055971231e-11,7.625363033986741e-13,1.1723711850057211e-11
NGC6503,6.26,10.64,117.0,1.0,25.46,74.18,0.0,4.169457489962774e-11,7.127277760620126e-13,1.0354496338079093e-11
NGC6503,6.26,11.38,117.0,1.0,26.38,71.5,0.0,3.898332837715634e-11,6.663816816607921e-13,9.261080428984346e-12
NGC6503,6.26,12.12,118.0,1.0,27.2,69.18,0.0,3.7231527084342695e-11,6.310428319380117e-13,8.376762563881368e-12
