key,label,A,Z,N,in_domain,magic_any,A_bin,radii_used,R_sharp_fm,rho_fm3,B_over_A_obs_MeV,sigma_B_over_A_obs_MeV,sigma_set_MeV,B_over_A_pred_mean_MeV,B_over_A_residual_mean_MeV,C3_inf_eq19,C_surf_eq19_MeV_fm,x_eq19_fm5,C3_eff_eq19,E3_vol_eq19_MeV,E3_surf_equiv_eq19_MeV,B_over_A_pred_eq19_MeV,residual_eq19_MeV,sigma_total_eq19_MeV,sigma_final_eq19_MeV,z_final_eq19,pass_3sigma_eq19
Z11_N17,Na-28,28,11,17,1,0,16<=A<40,published,3.92462312416,0.110579735498,7.7992644,0.0003659,0,16.1764393581,8.37717495808,1551.70342727,195.655721197,3.4729593306,2231.20778978,18.9740400499,8.30889637925,16.1764393581,8.37717495808,0.801550983608,0.801550983608,10.4512066349,0
Z12_N16,Mg-28,28,12,16,1,0,16<=A<40,preliminary,3.96219106262,0.107464044105,8.2724531,9.3e-06,0,16.0915944286,7.81914132857,1551.70342727,195.655721197,3.64239445063,2264.35874039,17.919879267,8.23011468929,16.0915944286,7.81914132857,0.386724013644,0.386724013644,20.2189185381,0
Z14_N14,Si-28,28,14,14,1,0,16<=A<40,published,4.03100106673,0.10205415304,8.4477445,2e-07,0,15.3703897845,6.9226452845,1551.70342727,195.655721197,3.96985341507,2328.42796024,16.161069017,8.0896249657,15.3703897845,6.9226452845,0.348063823539,0.348063823539,19.8890111995,0
Z11_N18,Na-29,29,11,18,1,0,16<=A<40,published,3.99201303438,0.108826218033,7.6821522,0.000253,0,15.9034401859,8.22128798593,1551.70342727,195.655721197,3.52524841192,2241.4384477,18.3770498209,8.16863236301,15.9034401859,8.22128798593,0.942569662439,0.942569662439,8.72220729517,0
Z12_N17,Mg-29,29,12,17,1,0,16<=A<40,preliminary,3.97058252653,0.110597855863,8.1135317,1.19e-05,0,16.4327069321,8.31917523208,1551.70342727,195.655721197,3.43163514999,2223.12247742,18.980258996,8.21272109277,16.4327069321,8.31917523208,0.409929499021,0.409929499021,20.294160952,0
Z14_N15,Si-29,29,14,15,1,0,16<=A<40,published,4.02480429338,0.106187913119,8.4486361,2e-07,0,16.0366929746,7.58805687462,1551.70342727,195.655721197,3.67243240078,2270.23583719,17.4968106128,8.10208012346,16.0366929746,7.58805687462,0.380966344682,0.380966344682,19.9179192088,0
Z11_N19,Na-30,30,11,19,1,0,16<=A<40,published,4.02532069116,0.109807293785,7.5019685,0.0001576,0,15.9167306517,8.41476215166,1551.70342727,195.655721197,3.43388611042,2223.56289071,18.7098840569,8.10104072896,15.9167306517,8.41476215166,1.0927703672,1.0927703672,7.70039379198,0
Z12_N18,Mg-30,30,12,18,1,0,16<=A<40,preliminary,4.01589643168,0.110582176461,8.054425,4.32e-05,0,16.38739514,8.33297013998,1551.70342727,195.655721197,3.39387606324,2215.73469607,18.9748777339,8.12005175456,16.38739514,8.33297013998,0.412284890311,0.412284890311,20.2116796803,0
Z14_N16,Si-30,30,14,16,1,0,16<=A<40,published,4.04546020456,0.108175483595,8.5206549,8e-07,0,16.3719659031,7.8513110031,1551.70342727,195.655721197,3.52065221329,2240.53917514,18.1579330345,8.06071132018,16.3719659031,7.8513110031,0.392579597799,0.392579597799,19.9992843416,0
Z11_N20,Na-31,31,11,20,1,1,16<=A<40,published,4.09296880027,0.10793387821,7.3986778,0.0004507,0,15.6023851438,8.20370734376,1551.70342727,195.655721197,3.4953828514,2235.59507992,18.0769136557,7.96714767629,15.6023851438,8.20370734376,1.09434488827,1.09434488827,7.49645512277,0
Z12_N19,Mg-31,31,12,19,1,0,16<=A<40,preliminary,4.06482512129,0.110191345673,7.8691886,9.92e-05,0,16.2810613912,8.41187279119,1551.70342727,195.655721197,3.37685109247,2212.40366314,18.8409888647,8.02230991327,16.2810613912,8.41187279119,0.413579578677,0.413579578677,20.3391879698,0
Z15_N16,P-31,31,15,16,1,0,16<=A<40,published,4.11685219757,0.106066260756,8.4811677,2e-07,0,16.1273195205,7.64615182054,1551.70342727,195.655721197,3.59856173126,2255.78261807,17.4567437343,7.92092727678,16.1273195205,7.64615182054,0.375196460017,0.375196460017,20.3790617326,0
Z12_N20,Mg-32,32,12,20,1,1,16<=A<40,preliminary,4.11323741312,0.109776666006,7.8038411,0.0001019,0,16.1564478837,8.3526067837,1551.70342727,195.655721197,3.3623653273,2209.56944031,18.6994482787,7.9278883252,16.1564478837,8.3526067837,0.427937846327,0.427937846327,19.5182708316,0
Z16_N16,S-32,32,16,16,1,0,16<=A<40,published,4.21006199677,0.102375466865,8.4931301,2e-07,0,15.6207882482,7.12765814815,1551.70342727,195.655721197,3.77718683901,2290.73164235,16.2629943062,7.74555977827,15.6207882482,7.12765814815,0.349575571114,0.349575571114,20.3894629291,0
Z18_N14,Ar-32,32,18,14,1,0,16<=A<40,published,4.32070022103,0.0947106819406,7.7000089,5.53e-05,0,13.8831986887,6.18318978874,1551.70342727,195.655721197,4.30027953354,2393.07772075,13.9189555097,7.54722271809,13.8831986887,6.18318978874,0.308347596453,0.308347596453,20.0526608926,0
