q_b,eta_baryon,eta10,tnuc_mev,li7h_pred,li7h_obs,li7h_sigma,z,z_abs,status,be7_prod,destruction_scale,lambda_be7,lambda_li7,survival_factor
0.35,5.4875e-10,5.4875,0.08399999999999999,3.9262701190679156e-10,1.6e-10,3e-11,7.754233730226385,7.754233730226385,reject,6.053445480195562e-10,0.43342414996808853,0.3467393199744708,0.19504086748563984,0.6486008888513313
0.35,5.4875e-10,5.4875,0.086,3.8306182793714354e-10,1.6e-10,3e-11,7.4353942645714515,7.4353942645714515,reject,5.972595632791066e-10,0.447338199152771,0.35787055932221684,0.20130218961874696,0.6413657503180642
0.35,5.4875e-10,5.4875,0.088,3.7385872577995263e-10,1.6e-10,3e-11,7.128624192665088,7.128624192665088,reject,5.894647552795828e-10,0.46136364274997854,0.36909091419998286,0.20761363923749035,0.6342342310230772
0.35,5.4875e-10,5.4875,0.09,3.6499819983908646e-10,1.6e-10,3e-11,6.8332733279695494,6.8332733279695494,reject,5.819434620641722e-10,0.4754988102861407,0.3803990482289126,0.21397446462876332,0.6272056026618567
0.35,5.575e-10,5.575,0.05,6.612156145175622e-10,1.6e-10,3e-11,16.70718715058541,16.70718715058541,reject,8.404105066974979e-10,0.21680660679579428,0.17344528543663543,0.09756297305810743,0.7867769491791514
0.35,5.575e-10,5.575,0.052000000000000005,6.391908870037032e-10,1.6e-10,3e-11,15.973029566790109,15.973029566790109,reject,8.217848612485631e-10,0.22853138611008023,0.1828251088880642,0.1028391237495361,0.7778080579782898
0.35,5.575e-10,5.575,0.054,6.184105473288116e-10,1.6e-10,3e-11,15.280351577627055,15.280351577627055,reject,8.042520645134903e-10,0.24041183383745335,0.19232946706996268,0.108185325226854,0.7689262789805852
0.35,5.575e-10,5.575,0.056,5.987669538958939e-10,1.6e-10,3e-11,14.62556512986313,14.62556512986313,reject,7.877109612812933e-10,0.25244413527637755,0.20195530822110205,0.11359986087436989,0.7601353584339331
0.35,5.575e-10,5.575,0.058,5.801653461928445e-10,1.6e-10,3e-11,14.005511539761486,14.005511539761486,reject,7.720729492567516e-10,0.2646247030412846,0.21169976243302768,0.11908111636857807,0.7514385094716115
0.35,5.575e-10,5.575,0.06,5.625218940512856e-10,1.6e-10,3e-11,13.417396468376188,13.417396468376188,reject,7.572600520045052e-10,0.2769501560918306,0.2215601248734645,0.12462757024132377,0.7428384642267369
0.35,5.575e-10,5.575,0.062,5.457620985640023e-10,1.6e-10,3e-11,12.858736618800078,12.858736618800078,reject,7.432033407363946e-10,0.28941730133608856,0.23153384106887087,0.13023778560123986,0.7343375206349855
0.35,5.575e-10,5.575,0.064,5.298194720341412e-10,1.6e-10,3e-11,12.327315734471375,12.327315734471375,reject,7.298416328000119e-10,0.3020231174183515,0.24161849393468124,0.1359104028382582,0.7259375845709258
0.35,5.575e-10,5.575,0.066,5.146344410951394e-10,1.6e-10,3e-11,11.821148036504647,11.821148036504647,reject,7.171204113920799e-10,0.31476474037151714,0.25181179229721373,0.14164413316718272,0.7176402078642928
0.35,5.575e-10,5.575,0.068,5.001534296537366e-10,1.6e-10,3e-11,11.338447655124554,11.338447655124554,reject,7.049909234563877e-10,0.32763945086924706,0.26211156069539765,0.14743775289116118,0.7094466226623373
0.35,5.575e-10,5.575,0.07,4.863280877392513e-10,1.6e-10,3e-11,10.87760292464171,10.87760292464171,reject,6.934094220967973e-10,0.34064466285743183,0.2725157302859455,0.15329009828584433,0.701357772538836
0.35,5.575e-10,5.575,0.072,4.731146395148544e-10,1.6e-10,3e-11,10.437154650495147,10.437154650495147,reject,6.823365269614294e-10,0.3537779133803463,0.28302233070427707,0.15920006102115583,0.6933743406962563
0.35,5.575e-10,5.575,0.074,4.604733292083449e-10,1.6e-10,3e-11,10.015777640278163,10.015777640278163,reject,6.717366815189235e-10,0.36703685344606063,0.2936294827568485,0.1651665840507273,0.6854967755626025
0.35,5.575e-10,5.575,0.076,4.4836794797401325e-10,1.6e-10,3e-11,9.61226493246711,9.61226493246711,reject,6.615776903724738e-10,0.38041923979957265,0.30433539183965813,0.1711886579098077,0.6777253140467574
0.35,5.575e-10,5.575,0.078,4.3676542801140026e-10,1.6e-10,3e-11,9.225514267046677,9.225514267046677,reject,6.518303230482364e-10,0.39392292749182095,0.3151383419934568,0.17726531737131943,0.6700600026842859
0.35,5.575e-10,5.575,0.08,4.256354928671766e-10,1.6e-10,3e-11,8.854516428905889,8.854516428905889,reject,6.424679732764534e-10,0.4075458631490423,0.32603669051923384,0.18339563841706905,0.6625007168785766
0.35,5.575e-10,5.575,0.08199999999999999,4.1495035490043664e-10,1.6e-10,3e-11,8.498345163347889,8.498345163347889,reject,6.33466364822671e-10,0.4212860788605233,0.3370288630884187,0.1895787354872355,0.6550471784190081
0.35,5.575e-10,5.575,0.08399999999999999,4.0468445252454837e-10,1.6e-10,3e-11,8.156148417484946,8.156148417484946,reject,6.248032965471229e-10,0.43514168661415903,0.34811334929132726,0.19581375897637157,0.6476989714378483
