T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,B_GPa,gamma_model_dimensionless,residual_1e-8_per_K,z
371.0,310.1043281588568,318.3584067711398,0.5,21.63972,janaf_interp,98.0,0.17385853090257614,8.254078612283035,16.50815722456607
372.0,310.6503389266209,318.8001053631199,0.5,21.65704,janaf_interp,98.0,0.17396051215081976,8.149766436498986,16.299532872997972
373.0,311.1931866221248,319.23920435051235,0.5,21.67436,janaf_interp,98.0,0.17406091301276838,8.046017728387524,16.092035456775047
374.0,311.7328956941695,319.67574010313365,0.5,21.691679999999998,janaf_interp,98.0,0.17415975708838421,7.94284440896418,15.88568881792836
375.0,312.26949037037036,320.1097485330776,0.5,21.709,janaf_interp,98.0,0.17425706765314586,7.840258162707279,15.680516325414558
376.0,312.8029946591796,320.5412650989099,0.5,21.72632,janaf_interp,98.0,0.17435286766162325,7.738270439730274,15.476540879460549
377.0,313.3334323518966,320.9703248098751,0.5,21.74364,janaf_interp,98.0,0.1744471797510424,7.636892457978489,15.273784915956979
378.0,313.86082702466757,321.3969622301162,0.5,21.76096,janaf_interp,98.0,0.1745400262448395,7.536135205448597,15.072270410897193
379.0,314.38520204047256,321.8212114829017,0.5,21.77828,janaf_interp,98.0,0.1746314291562027,7.436009442429104,14.872018884858209
380.0,314.9065805511007,322.2431062548601,0.5,21.7956,janaf_interp,98.0,0.17472141019160067,7.336525703759394,14.673051407518788
381.0,315.424985499113,322.66267980021945,0.5,21.81292,janaf_interp,98.0,0.17480999075429726,7.237694301106463,14.475388602212925
382.0,315.940439619792,323.0799649450499,0.5,21.83024,janaf_interp,98.0,0.17489719194785078,7.1395253252578765,14.279050650515753
383.0,316.45296544307956,323.49499409150667,0.5,21.84756,janaf_interp,98.0,0.17498303457959738,7.042028648427107,14.084057296854214
384.0,316.9625852955006,323.9077992220731,0.5,21.86488,janaf_interp,98.0,0.17506753916411744,6.945213926572488,13.890427853144976
385.0,317.4693213020746,324.31841190380186,0.5,21.8822,janaf_interp,98.0,0.17515072592668446,6.849090601727281,13.698181203454562
386.0,317.97319538821296,324.72686329255055,0.5,21.89952,janaf_interp,98.0,0.1752326148066952,6.753667904337566,13.507335808675132
387.0,318.47422928160364,325.13318413721333,0.5,21.91684,janaf_interp,98.0,0.17531322546108058,6.658954855609716,13.317909711219432
388.0,318.9724445140812,325.53740478394496,0.5,21.93416,janaf_interp,98.0,0.17539257726769697,6.564960269863785,13.12992053972757
389.0,319.4678624234843,325.93955518037643,0.5,21.95148,janaf_interp,98.0,0.17547068932869653,6.4716927568921205,12.943385513784241
390.0,319.96050415549826,326.33966487982025,0.5,21.968799999999998,janaf_interp,98.0,0.1755475804738763,6.379160724321987,12.758321448643974
391.0,320.45039066548446,326.73776304546584,0.5,21.98612,janaf_interp,98.0,0.17562326926400582,6.287372379981418,12.574744759962837
392.0,320.93754272029514,327.1338784545611,0.5,22.003439999999998,janaf_interp,98.0,0.17569777399413197,6.196335734265951,12.392671468531901
