Z,N,A,symbol,parity,is_magic_any,A13,I_asym,radius_rms_obs_fm,sigma_radius_rms_obs_fm,weight,radius_source_merge,n_iaea_measurements,J_from_obs_radius_MeV,J_stored_MeV,J_rel_diff,B_obs_MeV,C_required,radius_pred_a13_fm,radius_pred_a13_i_fm,resid_radius_a13_fm,resid_radius_a13_i_fm,A_band,neutron_skin_proxy_fm,B_pred_from_radius_a13_MeV,B_pred_from_radius_a13_i_MeV,resid_B_from_radius_a13_MeV,resid_B_from_radius_a13_i_MeV
11,18,29,Na,oe,False,3.072316825685847,0.2413793103448276,3.0922,0.0723,191.30371569206986,main,1,1.4003983750742623,1.4003983750742623,0.0,222.78241380000003,79.54251367514833,2.9270851343196456,2.6616565757090744,0.1651148656803545,0.4305434242909256,A_17_40,0.42140087877004234,259.03583687900556,330.08044870646347,36.25342307900553,107.29803490646344
12,17,29,Mg,eo,False,3.072316825685847,0.1724137931034483,3.0756,0.004,62500.0,preliminary,1,1.421787180939689,1.6393512574320832,-0.13271352036731382,235.29241929999998,71.76388166760775,2.9270851343196456,2.7820568267862296,0.14851486568035455,0.29354317321377055,A_17_40,0.3010006276928874,233.7041700916555,266.79627502358704,-1.5882492083444788,31.503855723587066
14,15,29,Si,eo,False,3.072316825685847,0.034482758620689655,3.1176,0.0052,36982.24852071006,main,1,1.3682921048116878,1.3682921048116878,0.0,245.0104469,89.53148455596758,2.9270851343196456,3.0228573289405394,0.19051486568035436,0.09474267105946055,A_17_40,0.060200125538577474,291.56562896277586,267.1507066311106,46.555182062775856,22.140259731110604
11,19,30,Na,oo,False,3.1072325059538586,0.26666666666666666,3.118,0.0884,127.96625785712821,main,1,1.367792426271271,1.367792426271271,0.0,225.059055,82.27090992656387,2.9603503131621105,2.652547560298312,0.15764968683788938,0.4654524397016879,A_17_40,0.46554763749833245,259.9052194749318,344.2540961454757,34.84616447493181,119.19504114547573
12,18,30,Mg,ee,False,3.1072325059538586,0.2,3.1107,0.0056,31887.755102040817,preliminary,1,1.3769403497160557,1.5904265130188078,-0.13423201987341835,241.63275000000002,75.96476417553993,2.9603503131621105,2.768934469672895,0.15034968683788952,0.341765530327105,A_17_40,0.3491607281237494,239.98323007523047,285.8182233463005,-1.6495199247695496,44.18547334630048
14,16,30,Si,ee,False,3.1072325059538586,0.06666666666666667,3.1336,0.004,62500.0,main,1,1.3484466372799284,1.3484466372799284,0.0,255.61964700000001,94.78300435960637,2.9603503131621105,3.001708288422061,0.17324968683788944,0.13189171157793877,A_17_40,0.11638690937458311,299.4326618310905,288.3354248494924,43.8130148310905,32.71577784949241
11,20,31,Na,oe,True,3.1413806523913927,0.2903225806451613,3.1704,0.0893,125.3998688317372,main,1,1.3038875385737858,1.3038875385737858,0.0,229.35901180000002,87.95199164602677,2.9928842403164375,2.6455165057889443,0.17751575968356237,0.5248834942110556,A_17_40,0.5068462182441523,269.71961344807374,370.3964123887235,40.360601648073725,141.03740058872347
12,19,31,Mg,eo,False,3.1413806523913927,0.22580645161290322,3.1486,0.0076,17313.019390581718,preliminary,1,1.3301030035591994,1.5439898838611363,-0.13852867984281012,243.9448466,78.99820107303889,2.9928842403164375,2.7581489987320893,0.15571575968356255,0.39045100126791077,A_17_40,0.3942137253010073,242.2613048066867,300.17331020043525,-1.68354179331331,56.22846360043525
15,16,31,P,oe,False,3.1413806523913927,0.03225806451612903,3.1889,0.0019,277008.3102493075,main,1,1.2820461629420188,1.2820461629420188,0.0,262.9161987,102.5377269164256,2.9928842403164375,3.0960464775615244,0.19601575968356233,0.09285352243847544,A_17_40,0.056316246471572476,314.4492302010518,286.1804071113236,51.53303150105182,23.26420841132358
12,20,32,Mg,ee,True,3.1748021039363987,0.25,3.1860999999999997,0.0131,5827.166249053085,preliminary,1,1.28532823568188,1.4998545957319418,-0.1430314382877702,249.7229152,83.24904157730472,3.024725824220446,2.7494501047421274,0.16137417577955393,0.43664989525787234,A_17_40,0.4364509101546867,247.9812255759785,318.84807612322527,-1.7416896240214896,69.12516092322528
16,16,32,S,ee,False,3.1748021039363987,0.0,3.2611,0.0018,308641.97530864197,main,1,1.2002496719749898,1.2002496719749898,0.0,271.7801632,113.21817849480871,3.024725824220446,3.185901014896814,0.2363741757795541,0.07519898510318601,A_17_40,0.0,337.25292362136463,291.0979305271713,65.47276042136463,19.317767327171282
18,14,32,Ar,ee,False,3.1748021039363987,-0.125,3.3468,0.0062,26014.568158168575,main,1,1.1099052030630987,1.1099052030630987,0.0,246.40028479999998,111.00059902412765,3.024725824220446,3.404126469974157,0.3220741757795542,-0.057326469974157135,A_17_40,0.0,330.64722505075747,233.8339009898221,84.24694025075749,-12.566383810177882
18,15,33,Ar,eo,False,3.207534329995826,-0.09090909090909091,3.3438,0.0058,29726.51605231867,main,1,1.1129498246590954,1.1129498246590954,0.0,261.6555447,117.55046764131842,3.0559107630622764,3.3774570926598955,0.2878892369377235,-0.03365709265989558,A_17_40,0.0,340.32749225325057,253.73634674221293,78.67194755325056,-7.919197957787077
16,18,34,S,ee,False,3.239611801277483,0.058823529411764705,3.2847,0.0021,226757.3696145125,main,1,1.174661237275797,1.174661237275797,0.0,291.83895240000004,124.2226027125979,3.0864718980826344,3.148242951113206,0.1982281019173655,0.13645704888679377,A_17_40,0.10269433180110274,349.7468315607572,330.5654709760241,57.90787916075715,38.726518576024034
18,16,34,Ar,ee,False,3.239611801277483,-0.058823529411764705,3.3654,0.004,62500.0,main,1,1.0912135726992898,1.0912135726992898,0.0,278.7208616,127.71141624940557,3.0864718980826344,3.3536316147154115,0.2789281019173657,0.011768385284588678,A_17_40,0.0,359.5695325327198,281.73215527120664,80.84867093271981,3.0112936712066585
17,18,35,Cl,oe,False,3.2710663101885897,0.02857142857142857,3.3654,0.0191,2741.1529289219047,main,1,1.0912135726992898,1.0912135726992898,0.0,298.209765,136.6413378924214,3.116439518827761,3.2326216508171717,0.24896048117223923,0.1327783491828285,A_17_40,0.04988010401767848,374.32697941066345,336.64893361073155,76.11721441066345,38.43916861073154
18,17,35,Ar,eo,False,3.2710663101885897,-0.02857142857142857,3.3636,0.0042,56689.34240362813,main,1,1.093008597359384,1.093008597359384,0.0,291.4611735,133.32977169811173,3.116439518827761,3.3323818588525285,0.247160481172239,0.031218141147471457,A_17_40,0.0,365.25499146210893,299.88915701072835,73.79381796210896,8.427983510728382
16,20,36,S,ee,True,3.3019272488946263,0.1111111111111111,3.2985000000000007,0.0024,173611.11111111115,main,1,1.1599520225258577,1.1599520225258577,0.0,308.71403999999995,133.07190039108625,3.1458416280641432,3.1194923991747805,0.1526583719358574,0.17900760082522016,A_17_40,0.19397818229097186,354.89142464816905,363.5337316985301,46.177384648169095,54.819691698530164
