T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_basis_low_J_per_molK,contrib_basis_low_1e-8_per_K,Cv_basis_mid_J_per_molK,contrib_basis_mid_1e-8_per_K,Cv_basis_high_J_per_molK,contrib_basis_high_1e-8_per_K
142.0,33.73938342660163,33.42669043312906,0.5,-0.3126929934725665,-0.625385986945133,5.008475559790527,-162.07417773351625,4.134823126708836,111.75370661897384,1.827624028964172,83.74716154767148
143.0,35.67592526226912,35.34253357489856,0.5,-0.3333916873705626,-0.6667833747411251,5.026819190813138,-162.66777729872229,4.17230712241151,112.7668032691316,1.8602789626783054,85.2435076044893
144.0,37.61734128830585,37.262893847862216,0.5,-0.3544474404436336,-0.7088948808872672,5.044915213058869,-163.25336424842618,4.209589464338509,113.77444973286181,1.8929765540837207,86.74180836342657
145.0,39.562972080651484,39.18724233384527,0.5,-0.3757297468062165,-0.751459493612433,5.062767712921093,-163.83107081824295,4.246667904660656,114.776585257084,1.925709472152395,88.24172789500422
146.0,41.512165366962165,41.115063826954575,0.5,-0.3971015400075926,-0.7942030800151852,5.0803806990127605,-164.40102672681448,4.2835403257765,115.77315260844036,1.958470553361503,89.74293794532872
147.0,43.464276568008046,43.04585671976618,0.5,-0.4184198482418678,-0.8368396964837356,5.097758103761082,-164.96335922741366,4.320204737427353,116.76409799532276,1.9912528020374543,91.2451179518571
148.0,45.418669371375756,44.979132877786526,0.5,-0.43953649358922925,-0.8790729871784585,5.114903784974566,-165.51819315865336,4.356659273788525,117.74937098925604,2.0240493904385355,92.74795504718382
149.0,47.37471633890064,46.91441750313228,0.5,-0.4602988357683605,-0.920597671536721,5.131821527382213,-166.06565099429494,4.392902190543533,118.72892444582166,2.056853658592652,94.25114405160555
150.0,49.33179954929422,48.85124898834415,0.5,-0.4805505609500664,-0.9611011219001327,5.148515044144322,-166.605852892138,4.428931861947577,119.70271442529061,2.0896591139060448,95.75438745519155
151.0,51.289311277475726,50.78917876119256,0.5,-0.5001325162831702,-1.0002650325663405,5.164987978334952,-167.1389167419926,4.4647467778861,120.67070011312407,2.122459430558303,97.25739539006112
152.0,53.24665471215816,52.72777112130298,0.5,-0.5188835908551803,-1.0377671817103606,5.181243904395928,-167.66495821273102,4.50034554093401,121.63284374049152,2.1552484486983707,98.75988559354246
153.0,55.203244713283254,54.66660306938487,0.5,-0.5366416438983848,-1.0732832877967695,5.197286329562232,-168.18409079841325,4.535726863420473,122.58911050493974,2.188020173455649,100.26158336285835
154.0,57.15850861094442,56.60526412980434,0.5,-0.5532444811400861,-1.1064889622801721,5.213118695259133,-168.69642586349815,4.57088956450413,123.53946849134326,2.2207687737797293,101.76222150195925
155.0,59.11188704748257,58.543356167211854,0.5,-0.5685308802707151,-1.1370617605414302,5.22874437847091,-169.20207268713546,4.605832567262945,124.48388859325046,2.2534885811216987,103.26154026109685
156.0,61.06283486448858,60.48049319788862,0.5,-0.5823416665999599,-1.1646833331999198,5.244166693081588,-169.7011385065517,4.64055489580278,125.42234443473573,2.2861740879693855,104.7592872697046
