T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv1_J_per_molK,Cv2_J_per_molK,alpha1_1e-8_per_K,alpha2_1e-8_per_K,residual_1e-8_per_K,z
423.0,334.788089754713,335.98341605470864,0.5,22.440806345820647,22.768756279155237,3584.6357908433843,-3248.6523747886754,1.195326299995683,2.390652599991366
424.0,335.1976657609973,336.3600957530661,0.5,22.451738678927438,22.778355522294124,3586.382093178876,-3250.02199742581,1.162429992068815,2.32485998413763
425.0,335.60509790352125,336.7345064763658,0.5,22.462601468698768,22.787892810858057,3588.117286843606,-3251.3827803672402,1.1294085728446044,2.2588171456892088
426.0,336.01040151798554,337.1066654243213,0.5,22.473395285982104,22.797368663390834,3589.841463023259,-3252.7347975989383,1.09626390633573,2.19252781267146
427.0,336.41359180616485,337.47658964597974,0.5,22.484120695985535,22.806783593178654,3591.5547120026986,-3254.078122356719,1.062997839814917,2.125995679629834
428.0,336.8146838372204,337.84429604110886,0.5,22.494778258341444,22.816138108311705,3593.257123176139,-3255.41282713503,1.0296122038884576,2.0592244077769153
429.0,337.21369254899867,338.2098013616167,0.5,22.50536852716962,22.82543271174487,3594.948785057228,-3256.7389836956113,0.9961088126180162,1.9922176252360324
430.0,337.6106327493177,338.5731222128626,0.5,22.51589205113938,22.834667901358088,3596.6297852889707,-3258.0566630761077,0.9624894635448955,1.924978927089791
431.0,338.0055191172411,338.9342750551056,0.5,22.526349373531236,22.843844170015203,3598.3002106535746,-3259.365935598469,0.9287559378645259,1.8575118757290519
432.0,338.3983662043388,339.2932762047862,0.5,22.536741032297464,22.85296200562285,3599.9601470821326,-3260.666870877347,0.8949100004473871,1.7898200008947742
433.0,338.78918843593556,339.6501418358995,0.5,22.54706756012199,22.862021891187844,3601.609679664184,-3261.9595378282847,0.8609533999639031,1.7219067999278062
434.0,339.1780001123474,340.0048879813284,0.5,22.557329484479897,22.87102430487445,3603.2488926572205,-3263.244004675892,0.8268878689810464,1.6537757379620928
435.0,339.5648154101045,340.3575305341297,0.5,22.567527327695498,22.879969720060405,3604.8778694959633,-3264.5203389618337,0.79271512402523,1.58543024805046
436.0,339.9496483831636,340.7080852488892,0.5,22.577661607000493,22.888858605392524,3606.4966928016534,-3265.7886075527645,0.7584368657255409,1.5168737314510818
437.0,340.3325129641071,341.05656774296244,0.5,22.58773283459069,22.897691424841486,3608.1054443911107,-3267.048876648148,0.7240547788553292,1.4481095577106584
438.0,340.7134229653298,341.40299349780105,0.5,22.597741517682604,22.906468637755943,3609.7042052857773,-3268.301211787976,0.6895705324712489,1.3791410649424978
