T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,Cv_debye_J_per_molK,A_eff_alpha_over_Cv_mol_per_J,residual_1e-8_per_K,rel_residual
345.0,294.71216692997757,306.3322186593095,21.31544499935058,1.3826226332077826e-07,11.620051729331895,0.03942847643644374
346.0,295.34977306755087,306.60112261700345,21.33415608219201,1.3843986700466883e-07,11.251349549452634,0.03809499981189857
347.0,295.98349599184326,306.86803850725374,21.352728829789317,1.3861623886634807e-07,10.8845425154105,0.036774153501148106
348.0,296.61336663918013,307.1329849137598,21.37116453524783,1.3879139162022294e-07,10.519618274579702,0.03546575932761808
349.0,297.23941566968097,307.3959802172842,21.389464477551957,1.389653378099442e-07,10.156564547603232,0.034169642423500506
350.0,297.86167346938777,307.65704259806574,21.407629921733125,1.391380898111459e-07,9.795369128677994,0.03288563115416961
351.0,298.4801701524004,307.91619003820347,21.42566211903563,1.393096598341368e-07,9.436019885803097,0.03161355704462772
352.0,299.0949355630165,308.17344032401706,21.4435623070809,1.3948005992654126e-07,9.078504761000529,0.030353254707944637
353.0,299.7059992778772,308.42881104837176,21.461331710029274,1.39649301975897e-07,8.72281177049453,0.029104561775578727
354.0,300.31339060811337,308.682319612983,21.478971538740357,1.3981739771220227e-07,8.368929004869681,0.027867318829583966
355.0,300.9171386014959,308.9339832306892,21.496482990931153,1.3998435871042048e-07,8.016844629193306,0.026641369336593362
356.0,301.5172720445864,309.1838189277001,21.51386725133255,1.4015019639293847e-07,7.666546883113725,0.025426559583558602
357.0,302.1138194648871,309.4318435458186,21.53112549184387,1.40314922031981e-07,7.318024080931446,0.024222738615179356
358.0,302.7068091329911,309.6780737446314,21.54825887168535,1.4047854675198433e-07,6.971264611640252,0.023029758172957052
359.0,303.2962690647301,309.92252600367976,21.565268537549155,1.4064108153192467e-07,6.626256938949684,0.021847472635858553
360.0,303.8822270233196,310.16521662459934,21.58215562374828,1.4080253720760765e-07,6.282989601279706,0.02067573896250785
361.0,304.46471052150133,310.4061617332389,21.598921252363994,1.4096292447391454e-07,5.94145121173754,0.019514416634889297
362.0,305.04374682368086,310.6453772817468,21.615566533390997,1.4112225388701222e-07,5.6016304580659115,0.01836336760347926
363.0,305.6193629480609,310.8828790506394,21.63209256488137,1.4128053586652028e-07,5.2635161025785475,0.017222456233812213
364.0,306.19158566876916,311.1186826508409,21.64850043308649,1.4143778069764187e-07,4.927096982071747,0.01609154925439971
365.0,306.76044151798,311.35280352569674,21.664791212597144,1.4159399853325701e-07,4.592362007716765,0.014970515705975065
366.0,307.3259567880295,311.5852569529654,21.68096596648213,1.417491993959783e-07,4.25930016493589,0.013859226892031245
367.0,307.8881575335232,311.8160580467875,21.697025746425243,1.4190339318016906e-07,3.927900513264214,0.012757556330618333
368.0,308.44706957343635,312.0452217596252,21.71297159286026,1.4205658965392884e-07,3.5981521861888153,0.011665379707334687
369.0,309.00271849320575,312.2727628841822,21.72880453510451,1.4220879846104224e-07,3.270044390976435,0.010582574829510232
