T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
423.0,334.788089754713,335.90882230014296,0.5,1.120732545429997,2.241465090859994,8.10065392153443,3.748805115407805,10.113326430592025,-113.49016432918768,63.49981456682501,385.8991720625056
424.0,335.1976657609973,336.29843115592047,0.5,1.1007653949231813,2.2015307898463625,8.10164277981469,3.7506080129875916,10.123099715840205,-113.50401823404673,63.5303532740864,386.2720961158808
425.0,335.60509790352125,336.6857406963836,0.5,1.0806427928623485,2.161285585724697,8.10262483643565,3.752399277074108,10.13281540950107,-113.51777684765655,63.56069492531455,386.6428226187256
426.0,336.01040151798554,337.0707678628722,0.5,1.0603663448866265,2.120732689773253,8.103600153237304,3.7541790049683827,10.142473935071198,-113.53144103639549,63.59084116866056,387.0113677306071
427.0,336.41359180616485,337.4535294543517,0.5,1.0399376481868785,2.079875296373757,8.104568791363066,3.7559472929864195,10.15207571249744,-113.54501165688282,63.6207936355905,387.37774747564407
428.0,336.8146838372204,337.8340421286461,0.5,1.0193582914257013,2.0387165828514027,8.10553081126901,3.757704236470725,10.161621158207511,-113.55848955610811,63.65055394108072,387.7419777436735
429.0,337.21369254899867,338.21232240366083,0.5,0.9986298546621665,1.997259709324333,8.106486272733152,3.7594499298016766,10.171110685140409,-113.57187557156145,63.6801236838103,388.104074291412
430.0,337.6106327493177,338.58838665859764,0.5,0.9777539092799915,1.955507818559983,8.10743523486445,3.7611844664087255,10.180544702776569,-113.5851705313593,63.70950444635095,388.46405274360603
431.0,338.0055191172411,338.9622511351618,0.5,0.9567320179207096,1.9134640358414192,8.108377756111668,3.762907938781465,10.189923617167858,-113.59837525436892,63.7386977953544,388.8219285941763
432.0,338.3983662043388,339.3339319387587,0.5,0.9355657344199296,1.8711314688398593,8.109313894272228,3.764620438480571,10.199247830967316,-113.61149055033215,63.767705281737726,389.1777172073531
433.0,338.78918843593556,339.703445039683,0.5,0.9142566037474092,1.8285132074948185,8.110243706500782,3.7663220561485846,10.208517743458687,-113.62451721998573,63.79652844086606,389.53143381880267
434.0,339.1780001123474,340.07080627429843,0.5,0.8928061619510654,1.7856123239021309,8.11116724931775,3.7680128815205474,10.217733750585753,-113.63745605518079,63.82516879273264,389.88309353674657
435.0,339.5648154101045,340.4360313462103,0.5,0.8712159361058143,1.7424318722116285,8.112084578617683,3.769693003434524,10.22689624498145,-113.65030783899994,63.85362784213712,390.2327113430731
436.0,339.9496483831636,340.7991358274272,0.5,0.8494874442635957,1.6989748885271914,8.112995749677458,3.7713625098419628,10.236005615996746,-113.66307334587228,63.88190707886106,390.5803020944384
437.0,340.3325129641071,341.160135159515,0.5,0.8276221954078875,1.655244390815775,8.113900817164504,3.7730214878179553,10.24506224972932,-113.67575334168853,63.91000797784164,390.92588052336185
438.0,340.7134229653298,341.51904465474246,0.5,0.8056216894126674,1.6112433788253349,8.1147998351447,3.774670023571309,10.254066529052041,-113.68834858391163,63.93793199934238,391.26946123931174
439.0,341.0923920802151,341.8758794972185,0.5,0.7834874170033642,1.5669748340067284,8.115692857090266,3.776308202454573,10.2630188336412,-113.70085982168744,63.9656805891229,391.61105872978305
440.0,341.46943388429753,342.2306547440179,0.5,0.761220859720393,1.522441719440786,8.116579935887582,3.7779361089738495,10.271919540004536,-113.71328779595416,63.99325517860512,391.95068736136693
441.0,341.8445618364156,342.58338532630256,0.5,0.738823489886926,1.477646979773852,8.117461123844732,3.779553826798534,10.28076902150907,-113.72563323954805,64.02065718503823,392.2883613808123
442.0,342.2177892798508,342.9340860504311,0.5,0.7162967705802626,1.4325935411605253,8.118336472699104,3.781161438770909,10.289567648408703,-113.73789687730991,64.04788801166127,392.62409491607974
443.0,342.58912944345695,343.28277159906037,0.5,0.6936421556034111,1.3872843112068223,8.119206033624724,3.7827590269156217,10.298315787871587,-113.75007942618792,64.07494904786357,392.9579019773847
444.0,342.95859544277664,343.6294565322383,0.5,0.6708610894616689,1.3417221789233378,8.120069857239677,3.7843466724490433,10.307013804007317,-113.76218159534143,64.10184166934334,393.28979645823637
445.0,343.3262002811471,343.974155288489,0.5,0.6479550073418696,1.2959100146837392,8.12092799361314,3.7859244557884892,10.315662057893872,-113.77420408623964,64.12856723826387,393.61979213646475
446.0,343.691956850795,344.3168821858883,0.5,0.6249253350932827,1.2498506701865655,8.12178049227257,3.787492456561359,10.324260907604378,-113.78614759276222,64.15512710340826,393.9479026752423
447.0,344.05587793391913,344.65765142313023,0.5,0.6017734892110964,1.2035469784221928,8.122627402210654,3.789050753614117,10.332810708233623,-113.79801280129676,64.18152260033166,394.27414162409536
448.0,344.4179762037628,344.9964770805869,0.5,0.5785008768240935,1.157001753648187,8.12346877189217,3.7905994250211865,10.341311811924397,-113.80980039083482,64.20775505151182,394.5985224199099
449.0,344.7782642256753,345.3333731213564,0.5,0.5551088956810981,1.1102177913621962,8.124304649260768,3.79213854809372,10.349764567893569,-113.82151103306693,64.2338257664977,394.9210583879256
450.0,345.1367544581618,345.66835339230624,0.5,0.5315989341444122,1.0631978682888243,8.125135081745626,3.793668199388265,10.358169322458014,-113.8331453924759,64.25973604205625,395.2417627427259
451.0,345.4934592539236,346.00143162510574,0.5,0.5079723711821069,1.0159447423642138,8.125960116268027,3.7951884547153156,10.366526419060289,-113.84470412642894,64.28548716231725,395.5606485892174
