Z,symbol,n_sn_points,N_chain_min,N_chain_max,rms_resid_before_MeV,rms_resid_after_MeV,median_abs_resid_before_MeV,median_abs_resid_after_MeV,rms_resid_neutron_edge_before_MeV,rms_resid_neutron_edge_after_MeV,rms_resid_proton_edge_before_MeV,rms_resid_proton_edge_after_MeV
71,Lu,38,79,117,8.66356419785248,8.68034694672073,8.121462559045224,7.985402804247073,4.9440126760448955,4.9491657886899585,12.726755542275518,12.94674923875675
72,Hf,37,81,118,8.522581105667408,8.558006375221744,7.911828082274525,7.793689081008409,5.539650429120445,5.266162600159006,11.920542352884274,12.386291904412701
73,Ta,39,82,121,8.36175825974308,8.387223060859402,8.002688549353756,7.981313684866571,5.1791416305744,5.118515176434967,11.116326404392339,11.404101180039493
74,W,40,83,123,8.459173709982602,8.500893871858182,8.011153842358311,7.866473688431334,5.159689100332778,4.817729877431265,11.228839778102673,11.736936217088209
75,Re,40,84,124,8.56326932815655,8.577383929222991,8.633393631413739,8.273439265248815,5.7316817634236195,5.675529669106063,11.397509647142353,11.504824256112629
76,Os,42,85,127,8.546524032188312,8.586035098690374,8.132832765721858,8.180523469048662,4.652382992901915,4.380783548103847,11.494909152072,11.936848663645996
77,Ir,42,86,128,8.64660488659041,8.655898651213377,8.616949885523578,8.529576166765416,4.749977123648301,4.545934385911084,11.463922719908407,11.706873592285229
78,Pt,43,87,130,8.69985454360441,8.736617779075354,8.686709199294597,8.618830384175226,4.19869306031401,4.326299294851397,11.609216230972745,11.813021912494696
79,Au,42,89,131,8.62530160863911,8.650848289691492,8.278618193071672,8.241109484431053,3.84561651716619,3.7848815174031185,11.546083552178807,11.618956556038807
80,Hg,46,90,136,8.369047510023302,8.41581230694966,7.778715088929282,7.943536829260918,4.112384443399934,4.554216100284376,11.614790126511647,10.684033621465918
81,Tl,42,95,137,8.348952941959698,8.37136334444014,7.751860107055151,8.033946723554855,3.7380836441486505,3.8326251996064404,10.95546440020782,10.710752178727875
82,Pb,42,96,138,8.264084843527167,8.30315471973027,8.09692166209619,7.920140245243488,4.371611607934851,3.750810057467505,11.117524994680688,10.207030776914735
83,Bi,40,101,141,7.95548853155387,7.992362092955898,8.075138938815734,8.000368971221267,4.056000653642615,4.115712091600466,10.514890689420106,10.814675668251164
84,Po,41,102,143,7.788427004815499,7.83982819998408,7.234457958457874,7.15018723539751,4.240782723164358,3.9521215757618013,10.658509304813851,9.829719350731887
85,At,38,106,144,7.515444888541971,7.523872088394167,7.43089669755955,7.118933561779816,4.86865790564808,4.6621018311429685,10.296711638724906,10.416175450474391
86,Rn,38,107,145,7.605061234944163,7.65558015812986,7.255811070741128,7.240493585508794,4.552827137664992,4.242115859086991,10.359058515933164,9.390709606136179
87,Fr,36,110,146,7.492212613213163,7.533813505037683,7.100342211175779,7.261467478996444,5.138883725213683,5.0077062894403905,10.072190055419918,9.39592828837294
88,Ra,34,113,147,7.386924435735245,7.437620752714075,7.432252235361393,7.280568823174484,6.033763958555087,5.847985884531535,10.010311625089592,9.177191034470342
89,Ac,32,116,148,7.201878267352988,7.235024094558661,6.582424679247342,6.850821806147593,5.250695068078324,5.095248773625992,9.785519144404084,10.207760335043691
90,Th,31,118,149,7.19726897078377,7.273767488325344,7.2884496835568555,7.465718289616042,4.84998562374855,4.561826290172037,9.633090504375087,10.46276334272618
91,Pa,30,120,150,7.136270060647198,7.161675277509736,6.683408432522313,6.6298509997183785,5.313620721889871,5.160644587593235,9.49074607303085,8.896445016385382
92,U,28,123,151,7.055793735794562,7.094286466995603,6.685720511964515,6.718239091536656,5.039546027870809,4.813741098110922,9.281001356329595,8.916942359497915
93,Np,26,126,152,6.943439751012108,6.949690759001076,6.824866510667274,6.764876140638123,5.485092727801588,5.456028483475239,8.089081100060104,8.07723347181284
94,Pu,26,127,153,7.090579400334973,7.116818955762577,6.939832042641903,6.780195336594328,5.854225879372317,5.616258716318953,8.252942491533576,8.773014227819273
95,Am,26,128,154,7.172565338714835,7.184788730245713,7.156166740329631,6.7885487713278785,5.546067162467219,5.401524847109894,8.451535039867029,7.897262175617901
96,Cm,21,135,156,7.140790197924257,7.220826347147195,6.849075738083307,6.933079199553191,5.540225132063548,5.522307877226262,8.2359322455032,8.699785707564356
97,Bk,21,136,157,6.825413336800706,6.83879831366621,6.713560765923027,6.825017635213371,5.162629284561837,5.054277949635141,8.301241957601848,7.817174846658894
98,Cf,19,139,158,6.799536755624519,6.8276955490960685,6.680718542220774,6.615297621541799,5.70346867336176,5.500019525048949,8.161181464556467,8.627570154847616
99,Es,19,140,159,6.787979286789648,6.796733677562014,6.627314995452451,6.573200722348581,5.395975288372527,5.299335761745471,8.1467637728864,8.154431191643296
100,Fm,19,141,160,6.937472062439472,6.968308211525925,6.654487365922812,6.556248454285239,5.881360685558275,5.743333155992612,8.27778974933297,8.599361397733144
101,Md,18,143,161,6.855159837141212,6.8696777812278675,6.745298518903709,6.723983937618492,5.573307766056716,5.521366541068091,7.9813220587614255,7.699753730555861
102,No,16,146,162,6.776257272900031,6.837359664854747,6.769973762358617,6.489441331155305,6.081564347316316,6.019558140170445,7.87266852983574,8.379026386641947
103,Lr,15,148,163,6.716104606006062,6.709793446739636,6.738953066354249,6.805124714273184,5.612505652324626,5.605493852131955,7.938702313915158,7.926203142537341
104,Rf,15,149,164,6.834369243407013,6.8517211468997745,6.708004132826801,6.524591166082423,6.023752260663992,5.778984104363434,7.831727641040893,7.823140510372093
105,Db,15,150,165,6.768092009006416,6.762168641623604,6.875171359367215,6.447560375210763,5.440709578037717,5.693684103401489,7.90902065378348,7.804260503893308
106,Sg,15,152,167,6.652147916328572,6.654536324838484,6.39746986635371,6.398860783304329,5.497580574741809,5.252551182040239,7.594501336205034,7.948052488965547
107,Bh,18,153,171,6.570798856375166,6.557941294745176,6.514270119278294,6.486728607569635,5.400240486520426,5.591662994232905,7.722769812113609,7.695767897579035
108,Hs,17,155,172,6.602918962230857,6.627970197337414,6.5857128352583345,6.389269240332055,5.850171913290567,5.6045557289664085,7.647827522927259,8.076147469370847
109,Mt,17,156,173,6.588539754099269,6.59697710151645,6.564100739650478,6.692878894317829,5.613715876248418,5.601466113026805,7.57135672621364,7.6530553226790765
110,Ds,17,157,174,6.781115231893785,6.8121816503447,6.812282670472783,6.911489573094073,6.1539282239849875,5.850136280292069,7.727977224559491,7.147598815884218
111,Rg,14,161,175,6.549142579299837,6.589818080184582,6.4884020631464985,6.650517563301534,5.836276382181375,5.579247964957486,7.419631683896741,7.072195639910953
112,Cn,12,164,176,6.5495542601138945,6.582704219638792,6.492333231410118,6.475119542935161,6.304419204645333,5.983478546682483,6.971097615085012,7.333880770183635
113,Nh,12,165,177,6.658799346936275,6.6829162399863735,6.603135976660333,6.625421450153688,5.975477250370341,5.852112543892439,7.21843990679684,6.771959914211504
114,Fl,7,170,177,6.414170691225732,6.705978967103972,6.1633124786724025,6.372209772704366,6.050647987702791,6.236621350145263,6.7549182459042445,7.464515303295528
115,Mc,5,172,177,6.4215624550778285,6.6191056545275355,6.125565723169686,6.289763491064939,6.211907739308408,6.50122807921025,6.723798351277603,6.792087260748957
116,Lv,4,173,177,6.7110489836525025,7.130343742251113,6.672561120916239,6.951696289563788,6.560547343562649,6.977777101012657,7.5464157254579405,8.327157224244957
117,Ts,3,174,177,6.658575853462087,6.912468322268823,6.358277204557751,6.726965045253678,6.348150050501218,6.47867008673704,nan,nan
118,Og,2,175,177,6.942923092959503,6.923585114382499,6.9178703760657,6.9178703760657,nan,nan,nan,nan
