Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
84,138,222,Po,102,143,42,36,5,interior,5.358809400000155,-0.18359914845228786,-0.3721428136645031,-5.542408548452443,-5.730952213664658,5.542408548452443,5.730952213664658
84,139,223,Po,102,143,42,37,4,interior,3.4358012000000144,-0.1828075846397681,-0.17698787363521973,-3.6186087846397825,-3.612789073635234,3.6186087846397825,3.612789073635234
84,140,224,Po,102,143,42,38,3,interior,5.191000000000031,-0.18201946109785183,-0.25382434596457415,-5.373019461097883,-5.444824345964605,5.373019461097883,5.444824345964605
84,141,225,Po,102,143,42,39,2,neutron_rich_edge,3.594000000000051,-0.18123478249952285,-0.5949794882604635,-3.775234782499574,-4.1889794882605145,3.775234782499574,4.1889794882605145
84,142,226,Po,102,143,42,40,1,neutron_rich_edge,4.91399999999976,-0.18045355271835462,2.2835535331291297,-5.0944535527181145,-2.63044646687063,5.0944535527181145,2.63044646687063
84,143,227,Po,102,143,42,41,0,neutron_rich_edge,3.52800000000002,-0.179675774858282,-1.2039126239466995,-3.707675774858302,-4.7319126239467195,3.707675774858302,4.7319126239467195
85,107,192,At,106,144,39,1,37,proton_rich_edge,9.009483299999829,-0.20887984752563682,-0.3746305602454427,-9.218363147525466,-9.384113860245272,9.218363147525466,9.384113860245272
85,108,193,At,106,144,39,2,36,proton_rich_edge,11.064377100000229,-0.20799274943473023,-0.2904381379542542,-11.27236984943496,-11.354815237954483,11.27236984943496,11.354815237954483
85,109,194,At,106,144,39,3,35,interior,8.720486899999969,-0.20710838250342078,-0.056275811086386796,-8.92759528250339,-8.776762711086356,8.92759528250339,8.776762711086356
85,110,195,At,106,144,39,4,34,interior,10.825125399999934,-0.20622679572768732,-0.2752201733737394,-11.03135219572762,-11.100345573373673,11.03135219572762,11.100345573373673
85,111,196,At,106,144,39,5,33,interior,8.514196599999877,-0.20534803572537186,-0.15852952899674477,-8.71954463572525,-8.672726128996622,8.71954463572525,8.672726128996622
85,112,197,At,106,144,39,6,32,interior,10.513408200000185,-0.20447214681998105,-0.32555710939139715,-10.717880346820166,-10.838965309391583,10.717880346820166,10.838965309391583
85,113,198,At,106,144,39,7,31,interior,8.424802999999883,-0.2035991711225691,-0.039079980561915306,-8.628402171122453,-8.463882980561799,8.628402171122453,8.463882980561799
85,114,199,At,106,144,39,8,30,interior,10.185940900000105,-0.2027291486101177,-0.3246727670514389,-10.388670048610223,-10.510613667051544,10.388670048610223,10.510613667051544
85,115,200,At,106,144,39,9,29,interior,8.235848300000043,-0.20186211720128,-0.023631209065079872,-8.437710417201323,-8.259479509065123,8.437710417201323,8.259479509065123
85,116,201,At,106,144,39,10,28,interior,9.872853599999871,-0.20099811282967295,-0.17528436419886617,-10.073851712829544,-10.048137964198737,10.073851712829544,10.048137964198737
85,117,202,At,106,144,39,11,27,interior,7.876993799999809,-0.20013716951359584,-0.2632896390257784,-8.077130969513405,-8.140283439025588,8.077130969513405,8.140283439025588
85,118,203,At,106,144,39,12,26,interior,9.638818700000229,-0.19927931942499555,-0.19465925435047637,-9.838098019425225,-9.833477954350705,9.838098019425225,9.833477954350705
85,119,204,At,106,144,39,13,25,interior,7.783962700000075,-0.1984245929538062,-0.2531963549875087,-7.982387292953881,-8.037159054987583,7.982387292953881,8.037159054987583
85,120,205,At,106,144,39,14,24,interior,9.1805781999999,-0.19757301877206146,-0.217800438440527,-9.378151218771961,-9.398378638440427,9.378151218771961,9.398378638440427
85,121,206,At,106,144,39,15,23,interior,7.526195400000006,-0.1967246238944682,-0.2298791621008931,-7.722920023894474,-7.756074562100899,7.722920023894474,7.756074562100899
85,122,207,At,106,144,39,16,22,interior,8.859394699999939,-0.19587943373688432,-0.13917156732827607,-9.055274133736823,-8.998566267328215,9.055274133736823,8.998566267328215
85,123,208,At,106,144,39,17,21,interior,7.313746100000117,-0.19503747217372336,-0.2543034070293331,-7.50878357217384,-7.56804950702945,7.50878357217384,7.56804950702945
85,124,209,At,106,144,39,18,20,interior,8.48518829999989,-0.19419876159216898,-0.22340258885655828,-8.67938706159206,-8.708590888856449,8.67938706159206,8.708590888856449
85,125,210,At,106,144,39,19,19,interior,7.159646500000008,-0.1933633229452525,-0.6233169563220571,-7.3530098229452605,-7.782963456322065,7.3530098229452605,7.782963456322065
85,126,211,At,106,144,39,20,18,interior,7.746401500000047,-0.1925311758025856,1.2384730764718626,-7.938932675802633,-6.507928423528185,7.938932675802633,6.507928423528185
85,127,212,At,106,144,39,21,17,interior,5.052280500000052,-0.19170233840000606,-1.0655739419499142,-5.243982838400058,-6.117854441949966,5.243982838400058,6.117854441949966
