T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
477.0,354.1791906871908,353.96598835858373,0.5,-0.21320232860707264,-0.4264046572141453,8.151874474288924,3.843218367984392,10.632597580481194,-112.81097287488387,60.35473195444665,406.42222927902094
478.0,354.4919981510292,354.24959156376485,0.5,-0.2424065872643114,-0.4848131745286228,8.15256084134232,3.8444978583839613,10.639739872905912,-112.82047127126953,60.37482534824066,406.6952374867937
479.0,354.80332699851544,354.53163352283644,0.5,-0.27169347567898544,-0.5433869513579709,8.153242961033698,3.845769809433993,10.646842880651175,-112.82991088988044,60.39480034245992,406.96674407025694
480.0,355.11318692129635,354.8121251137392,0.5,-0.3010618075571423,-0.6021236151142846,8.153920868019103,3.84703427885134,10.653906877133924,-112.83929221030971,60.414657843502354,407.2367594805466
481.0,355.42158753186794,355.0910771254258,0.5,-0.3305104064421854,-0.6610208128843708,8.15459459660418,3.8482913238145606,10.660932133537331,-112.8486157073012,60.43439874931242,407.5052940834145
482.0,355.728538364329,355.36850025865914,0.5,-0.3600381056698544,-0.7200762113397088,8.15526418074844,3.849541000969777,10.667918918830841,-112.8578818508089,60.45402394947304,407.77235815999495
483.0,356.0340488751248,355.64440512680574,0.5,-0.38964374831909715,-0.7792874966381943,8.15592965406938,3.850783366436452,10.67486749979003,-112.86709110605373,60.473534325296406,408.03796190756304
484.0,356.33812844378497,355.91880225662294,0.5,-0.4193261871620524,-0.8386523743241048,8.15659104984661,3.852018475813098,10.68177814101635,-112.8762439335807,60.49293074991357,408.30211544029004
485.0,356.6407863736519,356.19170208903716,0.5,-0.4490842846147102,-0.8981685692294205,8.157248401025857,3.853246384182943,10.688651104956621,-112.88534078931433,60.512214088363436,408.5648287899881
486.0,356.94203189260344,356.4631149799154,0.5,-0.47891691268799585,-0.9578338253759917,8.15790174022302,3.854467146119481,10.69548665192239,-112.8943821246148,60.531385197679974,408.82611190685026
487.0,357.24187415376605,356.73305120082944,0.5,-0.5088229529366087,-1.0176459058732175,8.158551099728022,3.8556808156919944,10.702285040109057,-112.90336838633114,60.55044492697887,409.0859746601817
488.0,357.5403222362225,357.0015209398144,0.5,-0.538801296408116,-1.077602592816232,8.159196511508746,3.8568874464709757,10.709046525614918,-112.91230001685588,60.56939411754271,409.34442683912755
489.0,357.83738514571036,357.2685343021191,0.5,-0.5688508435911988,-1.1377016871823975,8.159838007214837,3.858087091533525,10.71577136245995,-112.9211774541775,60.58823360290577,409.6014781533909
490.0,358.1330718153151,357.5341013109503,0.5,-0.5989705043647877,-1.1979410087295754,8.160475618181472,3.859279803468633,10.722459802604474,-112.93000113193268,60.60696420893689,409.8571382339461
491.0,358.4273911061541,357.79823190820923,0.5,-0.6291591979448694,-1.2583183958897388,8.161109375433092,3.8604656343824466,10.729112095967626,-112.93877147945794,60.625586753922285,410.1114166337449
492.0,358.72035180805506,358.06093595522356,0.5,-0.6594158528315046,-1.3188317056630092,8.161739309687047,3.8616446359034238,10.73572849044568,-112.94748892184005,60.64410204864643,410.36432282841713
493.0,359.01196264022656,358.3222232334663,0.5,-0.6897394067602929,-1.3794788135205858,8.162365451357234,3.862816859187468,10.7423092319301,-112.95615387996642,60.662510896472675,410.61586621696006
494.0,359.3022322519217,358.5821034452799,0.5,-0.7201288066417678,-1.4402576132835356,8.162987830557688,3.8639823549229857,10.748854564325677,-112.96476677057483,60.68081409342271,410.86605612243204
495.0,359.5911692230952,358.8405862145798,0.5,-0.7505830085154452,-1.5011660170308905,8.163606477106041,3.865141173335862,10.755364729568146,-112.97332800630109,60.699012428254704,411.11490179262614
