T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
412.0,330.1367345622466,332.225569157745,0.5,22.31579171582863,1.4887465046651103e-07,2.0888345954983962,4.1776691909967925
413.0,330.5709448816926,332.5171697939994,0.5,22.327528380789957,1.4892699457056287e-07,1.9462249123068536,3.892449824613707
414.0,331.00283341715766,332.8058452027286,0.5,22.339188831812873,1.4897848248132684e-07,1.8030117855709487,3.6060235711418973
415.0,331.4324170678942,333.09165335693103,0.5,22.350773706227944,1.4902913775379352e-07,1.6592362890368009,3.3184725780736017
416.0,331.8597125839213,333.37465229453255,0.5,22.362283634968954,1.4907898394295427e-07,1.5149397106112485,3.029879421222497
417.0,332.28473656748395,333.6549001170229,0.5,22.37371924264615,1.4912804460379982e-07,1.370163549538984,2.740327099077968
418.0,332.70750547449876,333.9324549881235,0.5,22.385081147618667,1.4917634329132077e-07,1.224949513624709,2.449899027249418
419.0,333.1280356159856,334.2073751324782,0.5,22.396369962065826,1.4922390356050857e-07,1.0793395164926036,2.1586790329852072
420.0,333.54634315948607,334.4797188343654,0.5,22.407586292057687,1.4927074896635382e-07,0.9333756748793336,1.8667513497586672
421.0,333.96244413046793,334.749544436441,0.5,22.418730737624777,1.4931690306384718e-07,0.7871003059730979,1.5742006119461958
422.0,334.3763544137167,335.01691033850227,0.5,22.429803892826786,1.4936238940798014e-07,0.640555924785624,1.281111849571248
423.0,334.788089754713,335.2818749962734,0.5,22.440806345820647,1.4940723155374316e-07,0.4937852415604584,0.9875704831209168
424.0,335.1976657609973,335.54449692021603,0.5,22.451738678927438,1.4945145305612724e-07,0.34683115921869695,0.6936623184373939
425.0,335.60509790352125,335.8048346743627,0.5,22.462601468698768,1.494950774701233e-07,0.1997367708414757,0.3994735416829514
426.0,336.01040151798554,336.06294687517055,0.5,22.473395285982104,1.4953812835072213e-07,0.05254535718498778,0.10509071436997557
427.0,336.41359180616485,336.3188921904006,0.5,22.484120695985535,1.4958062925291504e-07,-0.09469961576422288,-0.18939923152844576
428.0,336.8146838372204,336.5727293380105,0.5,22.494778258341444,1.496226037316921e-07,-0.24195449920986997,-0.48390899841973994
