T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_low_J_per_molK,Cv_high_J_per_molK,contrib_low_1e-8_per_K,contrib_high_1e-8_per_K
448.0,344.4179762037628,346.0880236991136,0.5,1.6700474953507962,3.3400949907015924,11.914068196913357,10.341311808230582,-112.29339847670066,458.38142217581424
449.0,344.7782642256753,346.44030933918174,0.5,1.6620451135064638,3.3240902270129276,11.916443197354486,10.349764564213356,-112.31578351483459,458.75609285401634
450.0,345.1367544581618,346.7906078977718,0.5,1.6538534396099702,3.3077068792199404,11.918803281133908,10.35816931879135,-112.33802795929307,459.12863585706486
451.0,345.4934592539236,347.1389334412861,0.5,1.6454741873624923,3.2909483747249846,11.921148570983332,10.366526415407105,-112.36013296685658,459.4990664081427
452.0,345.8483908608862,347.4852999215278,0.5,1.6369090606416576,3.2738181212833153,11.923479188395616,10.374836194654316,-112.38209968262896,459.8673996041568
453.0,346.2015614232179,347.8297211766871,0.5,1.628159753469146,3.256319506938292,11.92579525363909,10.383098994303134,-112.40392924017259,460.2336504168597
454.0,346.55298298233845,348.1722109323094,0.5,1.6192279499709201,3.2384558999418402,11.928096885772417,10.391315149325163,-112.42562276164844,460.5978336939578
455.0,346.9026674779152,348.51278280226535,0.5,1.6101153243501212,3.2202306487002423,11.930384202658733,10.399484991918358,-112.44718135794926,460.9599641602146
456.0,347.25062674885123,348.851450289709,0.5,1.6008235408577618,3.2016470817155236,11.93265732097979,10.40760885153164,-112.4686061288329,461.32005641854187
457.0,347.5968725342621,349.18822678802866,0.5,1.5913542537665517,3.1827085075331034,11.934916356249913,10.415687054889322,-112.48989816305398,461.6781249510826
458.0,347.94141647444263,349.52312558179415,0.5,1.5817091073515022,3.1634182147030043,11.937161422829822,10.423719926015414,-112.51105853849398,462.03418412028816
459.0,348.284270111824,349.85615984769345,0.5,1.5718897358694266,3.143779471738853,11.939392633939967,10.431707786257597,-112.53208832228708,462.3882481699805
460.0,348.6254448919208,350.1873426554582,0.5,1.5618977635374685,3.123795527074937,11.941610101674218,10.439650954311007,-112.55298857094905,462.74033122640725
461.0,348.96495216426797,350.5166869687932,0.5,1.551734804525182,3.103469609050364,11.94381393701276,10.44754974624195,-112.57376033049901,463.0904472992922
462.0,349.30280318334866,350.84420564628823,0.5,1.5414024629395815,3.082804925879163,11.94600424983533,10.455404475511287,-112.59440463658392,463.43861028287216
463.0,349.639009109512,351.1699114423262,0.5,1.5309023328141727,3.0618046656283453,11.948181148934037,10.463215452997643,-112.61492251459958,463.78483395692575
464.0,349.9735810098815,351.49381700798574,0.5,1.5202359981042517,3.0404719962085034,11.950344742025852,10.470982987020442,-112.63531497980837,464.12913198779415
465.0,350.3065298592541,351.8159348919325,0.5,1.5094050326783919,3.0188100653567838,11.952495135765462,10.478707383362728,-112.65558303746029,464.4715179293928
466.0,350.6378665409895,352.1362775413108,0.5,1.4984110003213245,2.996822000642649,11.954632435757215,10.486388945293834,-112.67572768290562,464.8120052242164
467.0,350.96760184789105,352.454857302616,0.5,1.4872554547250014,2.974510909450003,11.956756746567656,10.494027973591725,-112.69574990171303,465.15060720432905
468.0,351.2957464830768,352.7716864225743,0.5,1.4759399394974901,2.9518798789949803,11.958868171737274,10.501624766565348,-112.71565066978042,465.48733709235466
469.0,351.62231106084147,353.08677704900305,0.5,1.4644659881615758,2.9289319763231516,11.960966813792522,10.509179620076589,-112.73543095344799,465.8222080024511
470.0,351.9473061075099,353.4001412316709,0.5,1.452835124160986,2.905670248321972,11.963052774257497,10.516692827562165,-112.75509170960856,466.15523294127945
471.0,352.2707420622818,353.71179092315,0.5,1.4410488608682275,2.882097721736455,11.965126153665375,10.524164680055296,-112.77463388581523,466.48642480896524
472.0,352.5926292780664,354.0217379796598,0.5,1.4291087015933936,2.8582174031867873,11.967187051569939,10.531595466207166,-112.79405842039,466.8157964000498
473.0,352.9129780223104,354.32999416190216,0.5,1.4170161395917469,2.8340322791834938,11.96923556655678,10.538985472308168,-112.8133662425294,467.1433604044316
474.0,353.2317984778156,354.6365711358954,0.5,1.404772658079811,2.809545316159622,11.971271796254358,10.546334982309055,-112.83255827240879,467.4691294083042
475.0,353.54910074354865,354.94148047379485,0.5,1.3923797302462142,2.7847594604924284,11.973295837345018,10.553644277841821,-112.85163542128609,467.793115895081
476.0,353.8648948354429,355.24473365471215,0.5,1.3798388192692643,2.7596776385385287,11.975307785575762,10.560913638240438,-112.87059859160334,468.1153322463155
477.0,354.1791906871908,355.54634206552385,0.5,1.367151378333043,2.734302756666086,11.977307735768843,10.568143340561383,-112.88944867708658,468.43579074261044
478.0,354.4919981510292,355.84631700167245,0.5,1.354318850643287,2.708637701286574,11.979295781832505,10.575333659603979,-112.90818656284712,468.75450356451955
479.0,354.80332699851544,356.144669667968,0.5,1.3413426694525459,2.6826853389050918,11.981272016771074,10.58248486793063,-112.92681312547649,469.07148279344443
480.0,355.11318692129635,356.44141117937073,0.5,1.3282242580743686,2.6564485161487372,11.983236532695567,10.589597235886723,-112.94532923314657,469.38674041251727
481.0,355.42158753186794,356.73655256178114,0.5,1.314965029913205,2.62993005982641,11.985189420833432,10.596671031620545,-112.96373574570141,469.70028830748254
482.0,355.728538364329,357.0301047528104,0.5,1.3015663884814306,2.603132776962861,11.987130771538853,10.603706521102831,-112.98203351475425,470.0121382675647
483.0,356.0340488751248,357.3220786025546,0.5,1.2880297274297974,2.5760594548595948,11.989060674302445,10.610703968146309,-113.00022338377896,470.32230198633357
484.0,356.33812844378497,357.61248487435296,0.5,1.2743564305679742,2.5487128611359484,11.990979217761069,10.617663634424888,-113.01830618820256,470.63079106255555
485.0,356.6407863736519,357.9013342455497,0.5,1.260547871897836,2.521095743795672,11.99288648970737,10.624585779492875,-113.03628275549507,470.93761700104477
486.0,356.94203189260344,358.18863730824086,0.5,1.2466054156374338,2.4932108312748675,11.994782577099313,10.631470660803844,-113.05415390525944,471.2427912135003
487.0,357.24187415376605,358.4744045700174,0.5,1.232530416251361,2.465060832502722,11.996667566069508,10.638318533729397,-113.07192044931945,471.54632501933685
488.0,357.5403222362225,358.7586464547066,0.5,1.2183242184841279,2.4366484369682557,11.998541541934491,10.645129651577856,-113.0895831918071,471.8482296465137
489.0,357.83738514571036,359.04137330309675,0.5,1.2039881573864173,2.4079763147728346,12.000404589203818,10.651904265612542,-113.10714292924837,472.1485162323451
490.0,358.1330718153151,359.32259537366696,0.5,1.18952355835189,2.37904711670378,12.002256791589136,10.658642625070181,-113.12460045064883,472.4471958243158
491.0,358.4273911061541,359.60232284330266,0.5,1.1749317371485244,2.349863474297049,12.004098232012963,10.665344977178895,-113.14195653757616,472.7442793808788
492.0,358.72035180805506,359.8805658080089,0.5,1.160213999953853,2.320427999907706,12.005928992617527,10.672011567176199,-113.1592119642437,473.0397777722526
493.0,359.01196264022656,360.15733428361517,0.5,1.145371643388632,2.290743286777264,12.007749154773489,10.67864263832673,-113.17636749759247,473.33370178120765
494.0,359.3022322519217,360.43263820647536,0.5,1.1304059545536873,2.2608119091073746,12.00955879908837,10.685238431939847,-113.19342389737074,473.6260621038461
495.0,359.5911692230952,360.706487434162,0.5,1.1153182110668023,2.2306364221336046,12.01135800541511,10.691799187387112,-113.21038191621459,473.9168693503766
496.0,359.87878206505326,360.9788917461521,0.5,1.100109681098845,2.20021936219769,12.013146852860412,10.698325142119531,-113.2272422997267,474.20613404587885
497.0,360.16507922109696,361.24986084450995,0.5,1.084781623413027,2.169563246826054,12.014925419792824,10.704816531684683,-113.24400578655235,474.49386663106236
498.0,360.4500690671592,361.5194043545619,0.5,1.0693352874027233,2.1386705748054466,12.016693783851085,10.711273589743708,-113.2606731084582,474.7800774630201
499.0,360.73375991243375,361.7875318255666,0.5,1.0537719131328511,2.1075438262657022,12.018452021951978,10.717696548088117,-113.27724499040627,475.0647768159729
500.0,361.01616000000007,362.0542527313769,0.5,1.0380927313768418,2.0761854627536835,12.02020021029834,10.724085636656408,-113.29372215062945,475.3479748820063
501.0,361.29727750743905,362.31957647109823,0.5,1.022298963659162,2.044597927318324,12.021938424386928,10.7304410835506,-113.31010530070562,475.62968177180386
502.0,361.5771205474447,362.5835123697433,0.5,1.0063918222986397,2.0127836445972793,12.023666739015981,10.736763115052614,-113.32639514562891,475.9099075153722
503.0,361.8556971684276,362.8460696788712,0.5,0.990372510443616,1.980745020887232,12.025385228293086,10.743051955640361,-113.34259238388391,476.1886620627551
