T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K
394.0,321.90372560004596,323.2322684790623,0.5,2.6570857580327196,218.32383766984262,-149.45453902575412,254.36296983497382
395.0,322.3827970322835,323.7056135223876,0.5,2.6456329802080867,218.4545435444983,-149.47336930910146,254.7244392869907
396.0,322.85921522747117,324.17608971867713,0.5,2.6337489824119866,218.58437112216677,-149.49205993181693,255.08377852832731
397.0,323.3330000366466,324.6437183103344,0.5,2.6214365473756724,218.7133279743575,-149.51061226453305,255.44100260050996
398.0,323.80417113293043,325.10852036775117,0.5,2.608698469641509,218.84142159464608,-149.52902766119786,255.79612643430298
399.0,324.2727480132421,325.5705167905855,0.5,2.5955375546868034,218.96865939958744,-149.54730745931667,256.1491648503147
400.0,324.73875000000004,326.0297283090259,0.5,2.5819566180517826,219.09504872960625,-149.56545298018978,256.5001325596095
401.0,325.20219624280884,326.4861754850634,0.5,2.567958484509163,219.22059684988668,-149.58346552914603,256.8490441643228
402.0,325.66310572013083,326.93987871375316,0.5,2.553545987244647,219.34531095124441,-149.60134639577328,257.195914158282
403.0,326.121497240944,327.3908582244751,0.5,2.5387219670622363,219.46919815098906,-149.61909685414352,257.5407569276296
404.0,326.5773894463851,327.83913408219166,0.5,2.5234892716131765,219.59226549377706,-149.63671816303588,257.8835867514505
405.0,327.0308008113789,328.2847261887025,0.5,2.5078507546471824,219.71451995245445,-149.6542115661551,258.22441780240314
406.0,327.4817496462524,328.7276542838923,0.5,2.4918092752797514,219.83596842888602,-149.6715782923463,258.5632641473526
407.0,327.9302540983353,329.16793794697816,0.5,2.4753676972856566,219.95661775477726,-149.68881955580642,258.90013974800735
408.0,328.37633215354583,329.60559659774975,0.5,2.4585288884078507,220.0764746924846,-149.7059365562924,259.23505846155757
