T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,Cv_einstein_J_per_molK,alpha_debye_1e-8_per_K,alpha_einstein_1e-8_per_K,residual_1e-8_per_K,z
412.0,330.1367345622466,331.65818361494956,0.5,22.31579171582863,20.982193357494626,-432.62559985042856,764.2837834653781,1.5214490527029534,3.0428981054059068
413.0,330.5709448816926,332.0595204102867,0.5,22.327528380789957,20.99945797889607,-432.8531329706421,764.9126533809288,1.488575528594112,2.977151057188224
414.0,331.00283341715766,332.4583945470515,0.5,22.339188831812873,21.016614428884772,-433.07918856761813,765.5375831146696,1.4555611298938103,2.9111222597876205
415.0,331.4324170678942,332.85482496863654,0.5,22.350773706227944,21.033663566725334,-433.3037789969802,766.1586039656167,1.42240790074234,2.84481580148468
416.0,331.8597125839213,333.24883045120436,0.5,22.362283634968954,21.050606243686797,-433.5269164903402,766.7757469415446,1.389117867283084,2.778235734566168
417.0,332.28473656748395,333.6404296052253,0.5,22.37371924264615,21.06744330312383,-433.74861315671893,767.3890427619442,1.355693037741332,2.711386075482664
418.0,332.70750547449876,334.0296408770038,0.5,22.385081147618667,21.084175580557197,-433.96888098394976,767.9985218609536,1.3221354025050467,2.6442708050100934
419.0,333.1280356159856,334.4164825501971,0.5,22.396369962065826,21.100803903753363,-434.18773184006056,768.6042143902577,1.288446934211513,2.576893868423026
420.0,333.54634315948607,334.8009727473171,0.5,22.407586292057687,21.11732909280331,-434.4051774746427,769.2061502219598,1.2546295878309848,2.5092591756619695
421.0,333.96244413046793,335.18312943122095,0.5,22.418730737624777,21.133751960200563,-434.62122952020127,769.8043589514222,1.220685300753038,2.441370601506076
422.0,334.3763544137167,335.5629704065926,0.5,22.429803892826786,21.1500733109184,-434.8358994934878,770.3988699000804,1.1866159928759348,2.3732319857518696
423.0,334.788089754713,335.9405133214076,0.5,22.440806345820647,21.166293942486334,-435.04919879682006,770.9897121182277,1.1524235666946274,2.304847133389255
424.0,335.1976657609973,336.3157756683912,0.5,22.451738678927438,21.182414645065727,-435.2611387193789,771.5769143877701,1.1181099073938923,2.2362198147877845
425.0,335.60509790352125,336.688774786461,0.5,22.462601468698768,21.198436201524736,-435.47173043849483,772.1605052249558,1.0836768829397654,2.1673537658795308
426.0,336.01040151798554,337.0595278621588,0.5,22.473395285982104,21.214359387512385,-435.6809850209154,772.7405128830742,1.0491263441732246,2.098252688346449
427.0,336.41359180616485,337.4280519310687,0.5,22.484120695985535,21.230184971531987,-435.88891342405987,773.3169653551286,1.0144601249038299,2.0289202498076597
428.0,336.8146838372204,337.79436387922607,0.5,22.494778258341444,21.245913715013682,-436.095526497254,773.88989037648,0.9796800420056907,1.9593600840113814
429.0,337.21369254899867,338.1584804445139,0.5,22.50536852716962,21.261546372386373,-436.3008349829537,774.4593154274676,0.944787895515215,1.88957579103043
430.0,337.6106327493177,338.5204182180468,0.5,22.51589205113938,21.27708369114881,-436.504849517949,775.0252677359958,0.9097854687291526,1.8195709374583051
431.0,338.0055191172411,338.88019364554157,0.5,22.526349373531236,21.292526411939985,-436.7075806345599,775.5877742801015,0.8746745283004792,1.7493490566009584
432.0,338.3983662043388,339.237823028678,0.5,22.536741032297464,21.307875268608786,-436.9090387618103,776.1468617904883,0.8394568243391938,1.6789136486783875
433.0,338.78918843593556,339.5933225264513,0.5,22.54706756012199,21.323130988282944,-437.1092342265892,776.7025567530404,0.8041340905156985,1.608268181031397
434.0,339.1780001123474,339.94670815650113,0.5,22.557329484479897,21.33829429143724,-437.30817725480404,777.2548854113052,0.7687080441537609,1.5374160883075219
435.0,339.5648154101045,340.29799579644737,0.5,22.567527327695498,21.353365891961037,-437.505877972507,777.8038737689543,0.7331803863428729,1.4663607726857457
436.0,339.9496483831636,340.64720118519335,0.5,22.577661607000493,21.368346497225062,-437.70234640702216,778.3495475922156,0.6975528020297296,1.3951056040594592
437.0,340.3325129641071,340.9943399242366,0.5,22.58773283459069,21.38323680814753,-437.897592488045,778.8919324122817,0.6618269601295305,1.323653920259061
438.0,340.7134229653298,341.33942747895435,0.5,22.597741517682604,21.39803751925958,-438.0916260487401,779.4310535276944,0.6260045136245311,1.2520090272490623
439.0,341.0923920802151,341.6824791798839,0.5,22.607688158568948,21.412749318769986,-438.28445682681644,779.9669360067004,0.5900870996687786,1.1801741993375572
440.0,341.46943388429753,342.023510223993,0.5,22.617573254673594,21.427372888629225,-438.476094465593,780.499604689586,0.5540763396954735,1.108152679390947
441.0,341.8445618364156,342.36253567593184,0.5,22.627397298605988,21.441908904592864,-438.6665485150541,781.0290841909859,0.5179738395161992,1.0359476790323985
442.0,342.2177892798508,342.69957046928295,0.5,22.637160778214593,21.45635803628429,-438.85582843288483,781.5553989021678,0.48178118943213805,0.9635623788642761
443.0,342.58912944345695,343.03462940779144,0.5,22.646864176639994,21.470720947256755,-439.04394358550115,782.0785729932926,0.44549996433452854,0.8909999286690571
444.0,342.95859544277664,343.3677271665905,0.5,22.65650797236711,21.484998295054808,-439.23090324906167,782.5986304156522,0.40913172381389107,0.8182634476277821
445.0,343.3262002811471,343.6988782934113,0.5,22.666092639276872,21.499190731275025,-439.4167166104698,783.1155949038812,0.37267801226421254,0.7453560245284251
446.0,343.691956850795,344.0280972097855,0.5,22.675618646697274,21.51329890162617,-439.6013927683634,783.6294899781489,0.33614035899047723,0.6722807179809545
447.0,344.05587793391913,344.3553982122319,0.5,22.685086459453846,21.527323445988664,-439.78494073409286,784.1403389463247,0.29952027831272493,0.5990405566254499
448.0,344.4179762037628,344.68079547344126,0.5,22.69449653791915,21.541264998473427,-439.96736943268144,784.6481649061227,0.262819269678452,0.525638539356904
449.0,344.7782642256753,345.004303043437,0.5,22.70384933806236,21.55512418748015,-440.14868770378564,785.1529907472226,0.22603881776171442,0.45207763552342883
450.0,345.1367544581618,345.325934850736,0.5,22.713145311497602,21.56890163575489,-440.3289043026332,785.6548391533692,0.18918039257417382,0.37836078514834764
451.0,345.4934592539236,345.645704703497,0.5,22.722384905531893,21.5825979604471,-440.50802790095145,786.1537326044485,0.15224544957339048,0.30449089914678096
452.0,345.8483908608862,345.9636262906533,0.5,22.73156856321267,21.59621377316603,-440.68606708788957,786.6496933785429,0.11523542976713556,0.23047085953427113
453.0,346.2015614232179,346.2797131830397,0.5,22.74069672337447,21.60974968003652,-440.86303037092324,787.142743553963,0.07815175982176889,0.15630351964353778
454.0,346.55298298233845,346.5939788345044,0.5,22.74976982068542,21.623206281754243,-441.038926176756,787.6329050112604,0.04099585216595821,0.08199170433191642
455.0,346.9026674779152,346.9064365830207,0.5,22.758788285692475,21.63658417364032,-441.21376285219606,788.1201994352167,0.003769105105494482,0.007538210210988964
