Z,N,A,symbol,A_group,B_obs_MeV,sigma_B_obs_MeV,Delta_B_P_minus_SEMF_MeV,Delta_B_P_minus_Yukawa_MeV,abs_Delta_B_P_minus_SEMF_MeV,abs_Delta_B_P_minus_Yukawa_MeV,required_sigma_3sigma_SEMF_MeV,required_sigma_3sigma_Yukawa_MeV,required_relative_precision_SEMF,required_relative_precision_Yukawa,resolvable_now_SEMF_sigma_le_req,resolvable_now_Yukawa_sigma_le_req,precision_ratio_obs_over_req_SEMF,precision_ratio_obs_over_req_Yukawa
14,14,28,Si,light_A_le_40,236.536846,5.6e-06,-18.377035,144.425360,18.377035,144.425360,6.1256783,48.141787,0.025897354,0.20352764,1,1,9.1418447e-07,1.1632306e-07
15,13,28,P,light_A_le_40,221.409558,0.001148,22.291432,153.178554,22.291432,153.178554,7.4304773,51.059518,0.033559876,0.23061117,1,1,0.00015449882,2.2483565e-05
16,12,28,S,light_A_le_40,209.406151,0.1600004,35.247304,153.178597,35.247304,153.178597,11.749101,51.059532,0.056106763,0.24383015,1,1,0.013618097,0.0031336049
17,11,28,Cl,light_A_le_40,184.436000,0.504,63.894160,153.178621,63.894160,153.178621,21.298053,51.05954,0.11547666,0.27684151,1,1,0.023664135,0.0098708292
9,20,29,F,light_A_le_40,186.876911,0.525364,80.037963,161.419215,80.037963,161.419215,26.679321,53.806405,0.14276414,0.28792431,1,1,0.019691805,0.0097639677
10,19,29,Ne,light_A_le_40,207.844952,0.1495037,51.513916,161.419238,51.513916,161.419238,17.171305,53.806413,0.082615937,0.25887765,1,1,0.0087066008,0.002778548
11,18,29,Na,light_A_le_40,222.782414,0.007337,9.900820,154.710799,9.900820,154.710799,3.3002733,51.570266,0.014813886,0.23148266,1,1,0.0022231492,0.0001422719
12,17,29,Mg,light_A_le_40,235.292419,0.0003451,15.468069,161.419208,15.468069,161.419208,5.156023,53.806403,0.021913256,0.22867886,1,1,6.6931431e-05,6.4137349e-06
13,16,29,Al,light_A_le_40,242.105476,0.0003451,7.946162,161.419047,7.946162,161.419047,2.6487207,53.806349,0.010940358,0.22224342,1,1,0.00013028931,6.4137412e-06
14,15,29,Si,light_A_le_40,245.010447,5.8e-06,-15.484279,153.688892,15.484279,153.688892,5.1614263,51.229631,0.021066148,0.20909162,1,1,1.1237204e-06,1.1321573e-07
15,14,29,P,light_A_le_40,239.285867,0.0003596,13.905104,161.419163,13.905104,161.419163,4.6350347,53.806388,0.019370282,0.22486237,1,1,7.7583023e-05,6.6832214e-06
16,13,29,S,light_A_le_40,224.645095,0.0130413,27.385717,161.419202,27.385717,161.419202,9.1285723,53.806401,0.040635529,0.23951736,1,1,0.0014286243,0.00024237451
17,12,29,Cl,light_A_le_40,206.741000,0.203,47.867186,161.419322,47.867186,161.419322,15.955729,53.806441,0.07717738,0.26026014,1,1,0.012722703,0.0037727825
18,11,29,Ar,light_A_le_40,182.004000,0.435,75.349209,161.419223,75.349209,161.419223,25.116403,53.806408,0.13799918,0.29563311,1,1,0.017319359,0.008084539
9,21,30,F,light_A_le_40,186.150000,0.51,93.588148,169.710010,93.588148,169.710010,31.196049,56.570003,0.16758555,0.30389473,1,1,0.016348224,0.0090153786
10,20,30,Ne,light_A_le_40,211.035951,0.253251,58.864525,169.709968,58.864525,169.709968,19.621508,56.569989,0.092977089,0.26805854,1,1,0.012906806,0.004476773
11,19,30,Na,light_A_le_40,225.059055,0.004728,19.370462,162.909903,19.370462,162.909903,6.4568207,54.303301,0.028689451,0.24128468,1,1,0.00073224893,8.706653e-05
12,18,30,Mg,light_A_le_40,241.632750,0.001296,17.915090,169.710051,17.915090,169.710051,5.9716967,56.570017,0.024713937,0.23411569,1,1,0.00021702375,2.2909663e-05
13,17,30,Al,light_A_le_40,247.833147,0.001935,11.689043,169.709942,11.689043,169.709942,3.8963477,56.569981,0.015721657,0.22825833,1,1,0.00049661893,3.4205421e-05
14,16,30,Si,light_A_le_40,255.619647,2.4e-05,-17.420315,162.248430,17.420315,162.248430,5.8067717,54.08281,0.022716453,0.21157533,1,1,4.1331055e-06,4.4376392e-07
15,15,30,P,light_A_le_40,250.605192,6.6e-05,11.405547,169.710113,11.405547,169.710113,3.801849,56.570038,0.015170671,0.2257337,1,1,1.7359974e-05,1.1666954e-06
16,14,30,S,light_A_le_40,243.681243,0.000207,17.347623,169.709918,17.347623,169.709918,5.782541,56.569973,0.023729939,0.23214742,1,1,3.5797412e-05,3.6591851e-06
17,13,30,Cl,light_A_le_40,224.165094,0.023877,38.232219,169.709884,38.232219,169.709884,12.744073,56.569961,0.056851282,0.25235848,1,1,0.0018735768,0.00042207913
18,12,30,Ar,light_A_le_40,205.980000,0.18,57.729805,169.709915,57.729805,169.709915,19.243268,56.569972,0.093422994,0.27463818,1,1,0.0093539204,0.0031819001
9,22,31,F,light_A_le_40,186.341000,0.527,103.591071,178.047184,103.591071,178.047184,34.530357,59.349061,0.18530735,0.31849706,1,1,0.015261933,0.0088796687
10,21,31,Ne,light_A_le_40,211.205796,0.2661939,70.968142,178.047024,70.968142,178.047024,23.656047,59.349008,0.11200473,0.28100085,1,1,0.011252679,0.0044852291
11,20,31,Na,light_A_le_40,229.359012,0.0139717,22.426313,169.965309,22.426313,169.965309,7.4754377,56.655103,0.032592736,0.24701494,1,1,0.0018690143,0.00024660974
12,19,31,Mg,light_A_le_40,243.944847,0.0030752,25.429143,178.047176,25.429143,178.047176,8.476381,59.349059,0.034747121,0.24328884,1,1,0.00036279634,5.1815481e-05
13,18,31,Al,light_A_le_40,254.991058,0.0022351,12.512717,178.047130,12.512717,178.047130,4.1709057,59.349043,0.016357066,0.23274951,1,1,0.00053587882,3.7660253e-05
14,17,31,Si,light_A_le_40,262.207040,4.34e-05,6.165163,178.047160,6.165163,178.047160,2.0550543,59.349053,0.0078375254,0.22634424,1,1,2.1118663e-05,7.3126693e-07
15,16,31,P,light_A_le_40,262.916199,6.2e-06,-18.243744,169.133665,18.243744,169.133665,6.081248,56.377888,0.023129986,0.21443292,1,1,1.0195276e-06,1.0997219e-07
16,15,31,S,light_A_le_40,256.735840,0.0002294,13.176439,178.047216,13.176439,178.047216,4.3921463,59.349072,0.017107648,0.23116785,1,1,5.2229589e-05,3.8652668e-06
17,14,31,Cl,light_A_le_40,243.945513,0.0034472,26.535210,178.047183,26.535210,178.047183,8.84507,59.349061,0.036258384,0.24328818,1,1,0.00038973123,5.808348e-05
18,13,31,Ar,light_A_le_40,224.812000,0.186,46.462697,178.047069,46.462697,178.047069,15.487566,59.349023,0.068891188,0.26399402,1,1,0.012009634,0.0031340027
