station,target,metric,value_auto,value_tx,delta_rms_ns,abs_delta_rms_ns
MATM,luna21,rms_sr_tropo_no_shapiro_ns,2.1738917581239017,2.1738917581239017,0.0,0.0
MATM,luna21,rms_sr_tropo_ns,1.385532494239901,1.385532494239901,0.0,0.0
MATM,luna21,rms_sr_tropo_station_tide_ns,1.3347564457580685,1.3347564457580685,0.0,0.0
MATM,luna21,rms_sr_tropo_tide_no_ocean_ns,1.358812872336362,1.358812872336362,0.0,0.0
MATM,luna21,rms_sr_tropo_tide_ns,1.351300729489607,1.351300729489607,0.0,0.0
MDOL,apollo15,n,31.0,31.0,0.0,0.0
MDOL,apollo15,n_inlier,31.0,31.0,0.0,0.0
MDOL,apollo15,n_outlier,0.0,0.0,0.0,0.0
MDOL,apollo15,rms_gc_ns,5681262.315313274,5681262.315313274,0.0,0.0
MDOL,apollo15,rms_sm_ns,357893.8413174814,357893.8413174814,0.0,0.0
MDOL,apollo15,rms_sr_iau_no_shapiro_ns,544.2531320020468,544.2531320020468,0.0,0.0
MDOL,apollo15,rms_sr_iau_ns,544.0667712005073,544.0667712005073,0.0,0.0
MDOL,apollo15,rms_sr_no_shapiro_ns,11.31894073627439,11.31894073627439,0.0,0.0
MDOL,apollo15,rms_sr_ns,11.769128859082304,11.769128859082304,0.0,0.0
MDOL,apollo15,rms_sr_tropo_earth_shapiro_ns,11.409342672693608,11.409342672693608,0.0,0.0
MDOL,apollo15,rms_sr_tropo_moon_tide_ns,11.46708709524512,11.46708709524512,0.0,0.0
MDOL,apollo15,rms_sr_tropo_no_shapiro_ns,11.534498029835843,11.534498029835843,0.0,0.0
MDOL,apollo15,rms_sr_tropo_ns,11.409365188543934,11.409365188543934,0.0,0.0
MDOL,apollo15,rms_sr_tropo_station_tide_ns,11.348395299455346,11.348395299455346,0.0,0.0
MDOL,apollo15,rms_sr_tropo_tide_no_ocean_ns,11.402657952502205,11.402657952502205,0.0,0.0
MDOL,apollo15,rms_sr_tropo_tide_ns,11.392898651182891,11.392898651182891,0.0,0.0
WETL,apollo15,n,176.0,176.0,0.0,0.0
WETL,apollo15,n_inlier,176.0,176.0,0.0,0.0
WETL,apollo15,n_outlier,0.0,0.0,0.0,0.0
WETL,apollo15,rms_gc_ns,2195004.51861492,2195004.51861492,0.0,0.0
WETL,apollo15,rms_sm_ns,241733.44644916488,241733.44644916488,0.0,0.0
WETL,apollo15,rms_sr_iau_no_shapiro_ns,408.46370404967735,408.46370404967735,0.0,0.0
WETL,apollo15,rms_sr_iau_ns,408.72815310957225,408.72815310957225,0.0,0.0
WETL,apollo15,rms_sr_no_shapiro_ns,3.453295406081916,3.453295406081916,0.0,0.0
WETL,apollo15,rms_sr_ns,2.6730545874234117,2.6730545874234117,0.0,0.0
WETL,apollo15,rms_sr_tropo_earth_shapiro_ns,2.297726395265714,2.297726395265714,0.0,0.0
WETL,apollo15,rms_sr_tropo_moon_tide_ns,2.21892014820842,2.21892014820842,0.0,0.0
WETL,apollo15,rms_sr_tropo_no_shapiro_ns,3.3929244796756066,3.3929244796756066,0.0,0.0
WETL,apollo15,rms_sr_tropo_ns,2.2984607706628006,2.2984607706628006,0.0,0.0
WETL,apollo15,rms_sr_tropo_station_tide_ns,2.1899011078223287,2.1899011078223287,0.0,0.0
WETL,apollo15,rms_sr_tropo_tide_no_ocean_ns,2.106543747360353,2.106543747360353,0.0,0.0
WETL,apollo15,rms_sr_tropo_tide_ns,2.104664998613157,2.104664998613157,0.0,0.0
WETL,luna17,n,73.0,73.0,0.0,0.0
WETL,luna17,n_inlier,73.0,73.0,0.0,0.0
WETL,luna17,n_outlier,0.0,0.0,0.0,0.0
WETL,luna17,rms_gc_ns,1536484.4965471046,1536484.4965471046,0.0,0.0
WETL,luna17,rms_sm_ns,930407.5269642,930407.5269642,0.0,0.0
WETL,luna17,rms_sr_iau_no_shapiro_ns,421.867327297197,421.867327297197,0.0,0.0
WETL,luna17,rms_sr_iau_ns,423.08281941922246,423.08281941922246,0.0,0.0
WETL,luna17,rms_sr_no_shapiro_ns,4.1767208694383,4.1767208694383,0.0,0.0
